Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
5,64,500,3,3,0.01,150,3.0,0.006227418314665556,0.007085356628522277,0.013924930675919359,0.015843339066204536,6,5
5,64,500,3,3,0.01,250,5.0,0.0029317578766494988,0.004748997325077653,0.006555609905758723,0.010619080843838299,4,12
5,64,500,3,3,0.01,350,7.0,0.0018867405829951166,0.004178996465634554,0.004218880199484664,0.009344520174890228,2,12
5,64,500,3,3,0.01,450,9.0,0.00011030463792849332,0.00038346227738657036,0.00024664866864161265,0.0008574477190432518,2,20
5,64,500,3,3,0.01,550,11.0,0.0012003474752418698,0.0022055354493204504,0.0026840585512610668,0.00493172719146607,1,17
5,64,500,3,3,0.01,650,13.0,0.00025114905147347597,0.0011162107140989975,0.0005615863515792861,0.0024959230339389412,1,24
5,64,500,3,3,0.01,750,15.0,0.00010905020462814718,0.00018230528439744376,0.0002438436705087993,0.00040764700857011605,1,33
5,64,500,3,3,0.01,850,17.0,8.54945436003618e-05,0.000315962440072326,0.00019117161119572862,0.0007065134943384246,1,43
5,64,500,3,3,0.01,950,19.0,4.5399276859825474e-05,0.0003009246356668882,0.00010151586918790296,0.0006728879414555198,1,55
5,64,500,3,3,0.01,150,3.0,0.006980111077427863,0.012409450765699149,0.015608002859628002,0.027748375475540113,7,6
10,64,500,3,3,0.01,150,3.0,0.00371230011805892,0.0077174939448013905,0.01173932373117816,0.02440485869413018,8,7
10,64,500,3,3,0.01,250,5.0,0.009090076386928558,0.012269190698862075,0.028745345487608275,0.03879858765535721,4,11
10,64,500,3,3,0.01,350,7.0,0.0017044132575392721,0.007083275145851076,0.005389827968011255,0.02239928275455078,3,17
10,64,500,3,3,0.01,450,9.0,0.0009821727988310158,0.0018982961715664714,0.0031059031001683733,0.006002939575727814,3,28
10,64,500,3,3,0.01,550,11.0,0.00019314701203256845,0.0007271594367921352,0.0006107844812788644,0.00229948004234839,2,29
10,64,500,3,3,0.01,650,13.0,0.0002797761291731149,0.0010032092017354445,0.000884729803132524,0.003172426047123349,1,24
10,64,500,3,3,0.01,750,15.0,0.002402451168745756,0.003946891686064191,0.0075972176605701176,0.0124811674059451,1,33
10,64,500,3,3,0.01,950,19.0,0.00015661352372262625,0.00037131457356736063,0.0004952554473483115,0.0011741997808870127,1,58
15,64,500,3,3,0.01,150,3.0,0.009854738786816596,0.04476411771029234,0.03816723920256496,0.17337068239963072,16,16
15,64,500,3,3,0.01,250,5.0,0.004897413402795791,0.0053008843504358085,0.018967600548521098,0.020530236809409408,7,19
15,64,500,3,3,0.01,350,7.0,0.0026468568947166206,0.007932308735325933,0.010251232673031751,0.030721699628892957,5,28
15,64,500,3,3,0.01,450,9.0,0.001140371384099126,0.0013210368284489959,0.0044166393791074164,0.005116353636309625,3,30
15,64,500,3,3,0.01,550,11.0,0.0007978193578310311,0.0034977035829797387,0.0030899410861614796,0.01354654772685054,2,32
15,64,500,3,3,0.01,650,13.0,0.00011734671861631797,0.0003096374752203701,0.00045448188693308737,0.001199220784890205,2,46
15,64,500,3,3,0.01,750,15.0,0.0006849322468042374,0.0009088204213185235,0.0026527311851532397,0.00351984635645985,1,35
15,64,500,3,3,0.01,850,17.0,0.00039642035844735803,0.000547492946498096,0.0015353294463641923,0.002120431063953154,1,47
15,64,500,3,3,0.01,950,19.0,0.00011666375357890501,0.00023606971662957222,0.00045183677471714504,0.0009142940810502373,1,57
20,64,500,3,3,0.01,150,3.0,0.009575128927826882,0.04604689180850983,0.04282127835189117,0.20592796047281242,14,13
20,64,500,3,3,0.01,250,5.0,0.008982754684984684,0.03928277473896742,0.040172100201660926,0.17567790932228544,6,16
20,64,500,3,3,0.01,350,7.0,0.0049973587505519395,0.011462772195227445,0.022348867748375103,0.05126307567824612,3,18
20,64,500,3,3,0.01,450,9.0,0.0011407142505049706,0.0019898001221008597,0.005101429214063677,0.008898656669309809,3,32
20,64,500,3,3,0.01,550,11.0,0.009699811600148676,0.016412984021008013,0.0433788762137469,0.07340109596918351,1,18
20,64,500,3,3,0.01,650,13.0,0.009479082748293876,0.03610235871747136,0.042391746779061275,0.16145465648069618,6,113
20,64,500,3,3,0.01,750,15.0,0.00010983453976223245,0.0003116589970886707,0.0004911949943715107,0.0013937814065793537,2,57
20,64,500,3,3,0.01,850,17.0,0.0017390826949849727,0.003285167523426935,0.007777414248959863,0.01469171579971452,1,44
20,64,500,3,3,0.01,950,19.0,0.001035138813313097,0.0029249994026031346,0.004629281505433098,0.013080994996733769,1,56
