Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
2,64,500,3,3,0.01,100,1.0,0.01947951354086399,0.03332064245851376,0.027548192237920207,0.04712250447181495,6,3
2,64,500,3,3,0.01,300,3.0,7.518362544942646e-05,0.00014530587801485896,0.0001063257027789579,0.0002054935433811441,6,19
2,64,500,3,3,0.01,500,5.0,6.87829460730427e-06,0.0001238578677144594,9.727377519647422e-06,0.0001751614763284012,6,56
2,64,500,3,3,0.01,700,7.0,1.3676013168151258e-06,8.353805105215519e-06,1.934080330159255e-06,1.1814064477217388e-05,6,107
2,64,500,3,3,0.01,900,9.0,1.9018838656847946e-06,8.460005113729261e-06,2.6896699569100066e-06,1.196425396958166e-05,6,175
2,64,500,3,3,0.01,1100,11.0,5.881910851712746e-07,3.697009053492086e-06,8.318278099161649e-07,5.228360343664627e-06,6,274
2,64,500,3,3,0.01,1300,13.0,4.858373245042457e-07,5.998997543872228e-06,6.870777334209628e-07,8.48386368718699e-06,6,368
2,64,500,3,3,0.01,1500,15.0,3.665254155293951e-07,1.842563433922642e-05,5.183452135961048e-07,2.605778197786143e-05,6,492
2,64,500,3,3,0.01,1700,17.0,2.4802934603940227e-07,4.36796710509486e-06,3.507664650354522e-07,6.177238320024698e-06,6,640
2,64,500,3,3,0.01,1900,19.0,2.1229114111065428e-07,2.8823475041952825e-06,3.0022501093034784e-07,4.07625493190521e-06,6,803
2,64,500,3,3,0.01,100,1.0,0.02063199430704117,0.03851209977307381,0.029178046167822113,0.05446433381454678,6,2
2,64,500,3,3,0.01,300,3.0,1.3302138358994852e-05,3.498944182958952e-05,1.8812064475853908e-05,4.9482543175269986e-05,6,20
2,64,500,3,3,0.01,500,5.0,6.212242442416028e-06,4.885693133707182e-05,8.785437514814508e-06,6.909413491281805e-05,6,54
2,64,500,3,3,0.01,700,7.0,2.180656474592979e-06,7.252245247913473e-06,3.083913961246092e-06,1.0256223587255062e-05,6,107
2,64,500,3,3,0.01,900,9.0,8.933775802688616e-07,2.7487029992465603e-05,1.2634266903362826e-06,3.887253060470089e-05,6,177
2,64,500,3,3,0.01,1100,11.0,9.034955269271449e-07,5.574179351988744e-06,1.2777356277237943e-06,7.883080038682552e-06,6,265
2,64,500,3,3,0.01,1300,13.0,5.191764785195118e-07,8.203133341876077e-06,7.342264171873976e-07,1.160098242603608e-05,6,369
2,64,500,3,3,0.01,1500,15.0,2.86297097318311e-07,3.1910353492583872e-06,4.0488523789560526e-07,4.512805468933178e-06,6,492
2,64,500,3,3,0.01,1700,17.0,2.2756597672923817e-07,3.7248594807328445e-06,3.2182689062516877e-07,5.267746795586393e-06,6,631
2,64,500,3,3,0.01,1900,19.0,2.100647350289364e-07,8.551839341518456e-06,2.9707639725423246e-07,1.20941271800112e-05,6,756
2,64,500,3,3,0.01,100,1.0,0.015903303027153013,0.031208841034617178,0.022490666827528892,0.04413596625710159,6,2
2,64,500,3,3,0.01,300,3.0,6.215553512447513e-05,0.00011973645301529755,8.790120074959002e-05,0.00016933291576468268,6,19
2,64,500,3,3,0.01,500,5.0,8.747125775698805e-06,3.6602777212325375e-05,1.237030390377653e-05,5.1764143954191416e-05,6,52
2,64,500,3,3,0.01,700,7.0,2.7172228328709026e-06,3.402381605319067e-05,3.842733382235872e-06,4.8116942106109676e-05,6,101
2,64,500,3,3,0.01,900,9.0,1.5722430134701425e-06,6.413330251794272e-05,2.2234873929958206e-06,9.069818622065117e-05,6,168
2,64,500,3,3,0.01,1100,11.0,5.667577852364048e-07,6.780966556946693e-06,8.015165464618616e-07,9.589734870832405e-06,6,250
2,64,500,3,3,0.01,1300,13.0,3.713220905865455e-07,4.279204127226713e-06,5.251287365162237e-07,6.051708512886941e-06,6,349
2,64,500,3,3,0.01,1500,15.0,2.6086575246608843e-07,5.833361934165647e-06,3.6891988509620495e-07,8.249619561528007e-06,6,465
2,64,500,3,3,0.01,1700,17.0,2.5816062247940864e-07,3.2313329708626834e-06,3.650942535810602e-07,4.569794911937353e-06,6,598
2,64,500,3,3,0.01,1900,19.0,2.2424773078455475e-07,3.997819237319606e-06,3.17134182206908e-07,5.65377018533345e-06,6,765
2,64,500,3,3,0.01,100,1.0,0.022018221393227577,0.045862036351210035,0.031138467313635867,0.06485871380592913,6,2
2,64,500,3,3,0.01,300,3.0,3.726891336555127e-05,0.000175267625169139,5.270620273647052e-05,0.0002478658525591204,6,20
2,64,500,3,3,0.01,500,5.0,3.765622568607796e-06,4.028316027707217e-05,5.325394507303356e-06,5.6968991599084596e-05,6,55
2,64,500,3,3,0.01,700,7.0,1.5797038713571966e-06,2.6650710319350204e-05,2.2340386394066307e-06,3.768979598050166e-05,6,107
2,64,500,3,3,0.01,900,9.0,1.0014487884291156e-06,8.826574813634254e-06,1.4162624586185597e-06,1.2482661810742336e-05,6,176
2,64,500,3,3,0.01,1100,11.0,8.881729286258632e-07,4.0212330182279966e-06,1.2560662013953268e-06,5.686882271840528e-06,6,263
2,64,500,3,3,0.01,1300,13.0,3.9779271219231307e-07,4.543512929954793e-05,5.625638485955464e-07,6.425497606359587e-05,6,368
2,64,500,3,3,0.01,1500,15.0,3.0959053560764004e-07,7.06931535158872e-06,4.378271342386752e-07,9.997521646909094e-06,6,489
2,64,500,3,3,0.01,1700,17.0,2.729738923790137e-07,1.2306313214466149e-05,3.8604338077617484e-07,1.740375505070927e-05,6,626
2,64,500,3,3,0.01,1900,19.0,2.52524026223e-07,6.726527731305582e-06,3.5712290270962573e-07,9.51274674529108e-06,6,789
2,64,500,3,3,0.01,100,1.0,0.024210821092128756,0.033511558667016335,0.034239271544677076,0.04739250076315614,6,2
2,64,500,3,3,0.01,300,3.0,6.934447010280565e-05,0.00010094604570043978,9.806789009496336e-05,0.0001427592668974962,6,19
2,64,500,3,3,0.01,500,5.0,8.101313505903818e-06,2.4777112288668435e-05,1.1456987433085506e-05,3.504012823507598e-05,6,55
2,64,500,3,3,0.01,700,7.0,2.1153501847948064e-06,1.9640697397941647e-05,2.9915569205052483e-06,2.7776140634635037e-05,6,106
2,64,500,3,3,0.01,900,9.0,1.664750720919983e-06,7.670722570998269e-06,2.3543130474954275e-06,1.0848039893107169e-05,6,176
2,64,500,3,3,0.01,1100,11.0,7.936276574582734e-07,9.051876951651559e-06,1.1223589966518793e-06,1.2801287149958064e-05,6,263
2,64,500,3,3,0.01,1300,13.0,8.437573683295341e-07,5.291590576771108e-06,1.193253113643858e-06,7.483439160195371e-06,6,367
2,64,500,3,3,0.01,1500,15.0,3.2178955962081084e-07,1.7572704437567993e-06,4.550791594458164e-07,2.4851556943182527e-06,6,491
2,64,500,3,3,0.01,1700,17.0,2.398108875922844e-07,6.2848630157019124e-06,3.391438096377384e-07,8.888138514462716e-06,6,627
2,64,500,3,3,0.01,1900,19.0,1.980977543780682e-07,3.256579963689523e-06,2.801525309171182e-07,4.605499551602206e-06,6,783
5,64,500,3,3,0.01,100,1.0,0.023407983034849165,0.04079391967314176,0.052341841282084564,0.09121797745781099,6,2
5,64,500,3,3,0.01,300,3.0,5.6454007426509635e-05,0.00013782229992405823,0.00012623499820795352,0.0003081800314455583,6,19
5,64,500,3,3,0.01,500,5.0,1.6223889178945684e-05,0.00017595449650961644,3.62777190635458e-05,0.0003934462151422519,6,54
5,64,500,3,3,0.01,700,7.0,6.326059883576817e-06,1.3975609969444728e-05,1.414549992941217e-05,3.125041391870217e-05,6,105
5,64,500,3,3,0.01,900,9.0,1.734066700009862e-06,2.4025802828803604e-05,3.877491018740787e-06,5.37233283392116e-05,6,174
5,64,500,3,3,0.01,1100,11.0,9.55345103648142e-07,9.607840504544676e-06,2.136216593728828e-06,2.1483784485137774e-05,6,260
5,64,500,3,3,0.01,1300,13.0,7.501339609916613e-07,1.2859781008955906e-05,1.6773505290085303e-06,2.875534451178624e-05,6,362
5,64,500,3,3,0.01,1500,15.0,6.396832873178937e-07,8.428702923806552e-06,1.4303753145133396e-06,1.884715269978268e-05,6,483
5,64,500,3,3,0.01,1700,17.0,3.317798046964526e-07,1.1259347980413646e-05,7.418821968628721e-07,2.5176667466529883e-05,6,621
5,64,500,3,3,0.01,1900,19.0,2.7778628464147914e-07,3.9498850303341615e-06,6.211490156754532e-07,8.832211431136004e-06,6,780
5,64,500,3,3,0.01,100,1.0,0.02230397500097752,0.032544324771525,0.04987320427064167,0.07277132247096023,6,2
5,64,500,3,3,0.01,300,3.0,5.355589673854411e-05,0.00014622536727051155,0.00011975462570334392,0.00032696986125173674,6,19
5,64,500,3,3,0.01,500,5.0,1.118757609219756e-05,7.751712459699214e-05,2.50161806456052e-05,0.00017333356001919542,6,54
5,64,500,3,3,0.01,700,7.0,1.0668441973393783e-05,3.846307304346014e-05,2.38553614665205e-05,8.600604594871661e-05,6,105
5,64,500,3,3,0.01,900,9.0,1.5962882343956152e-06,1.2953659460179504e-05,3.5694090037917135e-06,2.8965263110344602e-05,6,174
5,64,500,3,3,0.01,1100,11.0,1.0763376167233217e-06,3.4302210317550002e-06,2.406764077733462e-06,7.670207404853645e-06,6,260
5,64,500,3,3,0.01,1300,13.0,8.611233397459728e-07,4.339222921491735e-06,1.925530324683642e-06,9.702797421980754e-06,6,363
5,64,500,3,3,0.01,1500,15.0,5.326525752025191e-07,1.6140180364870432e-06,1.1910473665431516e-06,3.609054046495765e-06,6,486
5,64,500,3,3,0.01,1700,17.0,4.205539653412416e-07,1.1312896923790015e-05,9.403872547101067e-07,2.529640654404273e-05,6,623
5,64,500,3,3,0.01,1900,19.0,2.3538052005278586e-07,6.578396014680411e-06,5.263268434172816e-07,1.4709740671739105e-05,6,777
5,64,500,3,3,0.01,100,1.0,0.018026600033044814,0.038887819179739706,0.040308703077088164,0.0869558071826181,6,2
5,64,500,3,3,0.01,300,3.0,0.0002938779129181057,0.0008529601282834148,0.0006571309903706479,0.0019072768289386565,6,19
5,64,500,3,3,0.01,500,5.0,2.7084624161943796e-05,7.864465171736904e-05,6.05630607711396e-05,0.00017585478730683277,6,54
5,64,500,3,3,0.01,700,7.0,8.543385229131673e-06,4.324547742912844e-05,1.9103590130306038e-05,9.669982725096404e-05,6,105
5,64,500,3,3,0.01,900,9.0,1.3862920923202181e-06,6.242193025266319e-06,3.099843355098422e-06,1.3957967933170552e-05,6,174
5,64,500,3,3,0.01,1100,11.0,1.0739643812485155e-06,8.009957395981286e-06,2.4014573618851812e-06,1.791080923429136e-05,6,260
5,64,500,3,3,0.01,1300,13.0,4.226216333336197e-07,1.0095645964797885e-05,9.450107008959648e-07,2.2574550654059518e-05,6,364
5,64,500,3,3,0.01,1500,15.0,6.191509442032838e-07,4.339153721188128e-06,1.384463599571722e-06,9.702642685397823e-06,6,483
5,64,500,3,3,0.01,1700,17.0,3.7436181514749484e-07,9.778428479060098e-06,8.370984668500089e-07,2.1865230792298258e-05,6,623
5,64,500,3,3,0.01,1900,19.0,2.476225603231796e-07,9.619671508960146e-06,5.53700877645172e-07,2.1510239415252864e-05,6,779
5,64,500,3,3,0.01,100,1.0,0.01672176122665405,0.031904172558241926,0.03739099480631873,0.07133989860611233,6,2
5,64,500,3,3,0.01,300,3.0,0.00011428019060986117,0.000525710865473136,0.00025553827468528274,0.0011755252317081793,6,19
5,64,500,3,3,0.01,500,5.0,1.4193947390594985e-05,6.789090343189832e-05,3.1738631234426146e-05,0.0001518086751275984,6,54
5,64,500,3,3,0.01,700,7.0,4.418126354721608e-06,2.116888346137831e-05,9.879230862340866e-06,4.733506242741295e-05,6,106
5,64,500,3,3,0.01,900,9.0,1.3771673934570572e-06,7.539383245668246e-06,3.079439908166179e-06,1.6858573445737195e-05,6,179
5,64,500,3,3,0.01,1100,11.0,1.1470126310086926e-06,4.876765277190432e-06,2.56479821398632e-06,1.0904778670108411e-05,6,265
