Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
100,96,750,3,3,0.01,100,1.0,0.009535232745110988,0.049886726368314184,0.09535232745110989,0.4988672636831418,20,10
100,96,750,3,3,0.01,300,3.0,0.009627066925168036,0.04655357564871128,0.09627066925168036,0.46553575648711276,4,15
100,96,750,3,3,0.01,700,7.0,0.00884831938892603,0.03837154342386967,0.0884831938892603,0.3837154342386967,3,184
100,96,750,3,3,0.01,1100,11.0,0.009915950894355775,0.04265890640612596,0.09915950894355775,0.4265890640612596,1,72
100,96,750,3,3,0.01,1300,13.0,0.0074506721459329135,0.03375414271767323,0.07450672145932913,0.3375414271767323,2,166
100,96,750,3,3,0.01,1500,15.0,0.00833294540643692,0.031499361690993495,0.0833294540643692,0.31499361690993494,2,229
100,96,750,3,3,0.01,1700,17.0,0.008710168115794658,0.036475794962965526,0.08710168115794657,0.36475794962965524,1,196
100,96,750,3,3,0.01,1900,19.0,0.007232455536723137,0.03142312522499989,0.07232455536723137,0.3142312522499989,1,225
100,96,750,3,3,0.01,100,1.0,0.009690841473639012,0.047227550202455275,0.09690841473639011,0.47227550202455276,30,16
100,96,750,3,3,0.01,300,3.0,0.007528108637779951,0.045924343120975375,0.07528108637779951,0.45924343120975375,5,25
100,96,750,3,3,0.01,500,5.0,0.008900284767150879,0.03778855970654732,0.08900284767150879,0.3778855970654732,3,45
100,96,750,3,3,0.01,700,7.0,0.008468205295503139,0.040435183267944895,0.0846820529550314,0.40435183267944896,3,86
100,96,750,3,3,0.01,900,9.0,0.009502427093684674,0.03744734723407488,0.09502427093684673,0.37447347234074885,2,101
100,96,750,3,3,0.01,1100,11.0,0.009993752464652061,0.027987385073151343,0.09993752464652061,0.27987385073151344,2,150
100,96,750,3,3,0.01,1300,13.0,0.008616805262863635,0.03705085964443592,0.08616805262863636,0.3705085964443592,1,124
100,96,750,3,3,0.01,1900,19.0,0.008272434026002884,0.022655894167912312,0.08272434026002884,0.2265589416791231,2,451
100,96,750,3,3,0.01,100,1.0,0.008938749134540559,0.05352732161871898,0.08938749134540558,0.5352732161871898,22,12
100,96,750,3,3,0.01,300,3.0,0.009068885445594789,0.05378128454471246,0.09068885445594789,0.5378128454471246,4,21
100,96,750,3,3,0.01,500,5.0,0.00981009602546692,0.03600384006037926,0.09810096025466919,0.3600384006037926,4,58
100,96,750,3,3,0.01,900,9.0,0.009154413267970084,0.03457110305913748,0.09154413267970084,0.34571103059137476,2,78
100,96,750,3,3,0.01,1300,13.0,0.009896281734108926,0.03480954174525463,0.09896281734108926,0.3480954174525463,1,97
100,96,750,3,3,0.01,1500,15.0,0.008046891260892154,0.03658361231478361,0.08046891260892154,0.3658361231478361,2,215
100,96,750,3,3,0.01,1700,17.0,0.008008386567234993,0.03244033926954636,0.08008386567234993,0.3244033926954637,1,166
100,96,750,3,3,0.01,1900,19.0,0.00759738041087985,0.03457007786402336,0.0759738041087985,0.3457007786402336,1,208
