Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
2,96,750,3,3,0.01,100,1.0,0.0065940930508077145,0.00894244851019138,0.00932545582400245,0.012646531963935727,6,3
2,96,750,3,3,0.01,300,3.0,0.0033164558466523882,0.003843795263375609,0.004690176837347354,0.0054359473924512495,1,5
2,96,750,3,3,0.01,500,5.0,0.0001538009528303519,0.0005811049628298348,0.0002175073933985883,0.0008218065195962657,1,16
2,96,750,3,3,0.01,700,7.0,1.7810963618103416e-05,0.00010491479434466992,2.5188506307655625e-05,0.0001483719250558163,1,30
2,96,750,3,3,0.01,900,9.0,7.775756057526452e-06,4.320967164881623e-05,1.0996579674258656e-05,6.110770367144413e-05,1,51
2,96,750,3,3,0.01,1100,11.0,3.651023234851891e-06,5.992253458176632e-05,5.1633265752668346e-06,8.474326109730473e-05,1,77
2,96,750,3,3,0.01,1300,13.0,2.339131106054992e-06,1.7462051451170388e-05,3.3080309343517488e-06,2.469506998910195e-05,1,108
2,96,750,3,3,0.01,1500,15.0,2.229722895208397e-06,0.0001925320505576495,3.1533043587375187e-06,0.00027228143709013034,1,142
2,96,750,3,3,0.01,1700,17.0,1.2230093261678122e-06,2.156668176375649e-05,1.7295963759753004e-06,3.049989384568893e-05,1,184
2,96,750,3,3,0.01,1900,19.0,1.0199728421866894e-06,4.361838620799319e-06,1.4424594266726487e-06,6.168571334417153e-06,1,228
2,96,750,3,3,0.01,100,1.0,0.009232865646481514,0.019298005276001416,0.013057243816822791,0.02729150078806875,6,3
2,96,750,3,3,0.01,300,3.0,0.0011055293027311562,0.001758683845997812,0.0015634545335232724,0.0024871545469365816,1,6
2,96,750,3,3,0.01,500,5.0,0.00010767049971036612,0.0004039767600494461,0.0001522690809578882,0.0005713094129454682,1,16
2,96,750,3,3,0.01,700,7.0,1.718542134767631e-05,0.00017727084541081404,2.430385594497995e-05,0.0002506988337933176,1,31
2,96,750,3,3,0.01,900,9.0,7.376133635261795e-06,7.921326351396811e-05,1.0431428224863591e-05,0.00011202447158128755,1,52
2,96,750,3,3,0.01,1100,11.0,7.298607215489028e-06,0.0001383550261380151,1.0321789310578714e-05,0.000195663554386865,1,78
2,96,750,3,3,0.01,1300,13.0,2.401022948106402e-06,2.034326084517838e-05,3.395559216781106e-06,2.876971539014482e-05,1,108
2,96,750,3,3,0.01,1500,15.0,1.4526817722071428e-06,1.005429793365646e-05,2.0544022640675245e-06,1.4218924497916752e-05,1,140
2,96,750,3,3,0.01,1700,17.0,1.2112257081753341e-06,6.645650337771095e-06,1.7129318235965143e-06,9.398368838465223e-06,1,182
2,96,750,3,3,0.01,1900,19.0,1.34432018512598e-06,8.702638165931812e-06,1.901155837977071e-06,1.2307388922686487e-05,1,221
2,96,750,3,3,0.01,100,1.0,0.009781628102064132,0.015757390166608952,0.013833311124028894,0.022284314881222827,12,6
2,96,750,3,3,0.01,300,3.0,0.001311132311820984,0.0018059274022025652,0.0018542210974428256,0.0025539670248560793,1,5
2,96,750,3,3,0.01,500,5.0,0.00010632430930854753,0.00045335540441252914,0.00015036528023409986,0.000641141361495338,1,15
2,96,750,3,3,0.01,700,7.0,3.168813491356559e-05,0.00018096774884048873,4.481379016107284e-05,0.0002559270447623471,1,29
2,96,750,3,3,0.01,900,9.0,6.957416917430237e-06,2.2175440358879336e-05,9.839273363713854e-06,3.1360808507122855e-05,1,48
2,96,750,3,3,0.01,1100,11.0,4.054754208482336e-06,6.500638343053512e-05,5.7342883937251034e-06,9.193290908828841e-05,1,72
2,96,750,3,3,0.01,1300,13.0,3.279872862549382e-06,5.9904376543365804e-05,4.638440685076803e-06,8.471758175313263e-05,1,101
2,96,750,3,3,0.01,1500,15.0,1.9182649111826324e-06,1.830703309352453e-05,2.7128362536188997e-06,2.5890054487675468e-05,1,135
2,96,750,3,3,0.01,1700,17.0,1.4743049177923239e-06,4.335175034588573e-05,2.0849820098152555e-06,6.130863329176413e-05,1,171
2,96,750,3,3,0.01,1900,19.0,1.0582900586086908e-06,7.972076545206035e-06,1.4966481538090283e-06,1.1274218770506824e-05,1,215
2,96,750,3,3,0.01,100,1.0,0.009076246898621323,0.010722070263746457,0.012835751459477017,0.015163297183707508,7,3
2,96,750,3,3,0.01,300,3.0,0.00827795546501875,0.008361145495795287,0.011706796887349998,0.011824445357128411,1,5
2,96,750,3,3,0.01,500,5.0,0.00011087390157626942,0.0003665151187959008,0.0001567993753223799,0.000518330651815949,1,15
2,96,750,3,3,0.01,700,7.0,2.4563997794757593e-05,0.00010164456822773597,3.473873882744899e-05,0.00014374712692922161,1,31
2,96,750,3,3,0.01,900,9.0,7.220770203275606e-06,8.733585887873628e-05,1.0211711152251893e-05,0.00012351155610781155,1,52
2,96,750,3,3,0.01,1100,11.0,7.867593285482145e-06,7.30877865676004e-05,1.1126457127564348e-05,0.00010336173900773061,1,79
2,96,750,3,3,0.01,1300,13.0,2.632834775795345e-06,8.146142467105678e-05,3.723390647417304e-06,0.00011520385158004276,1,103
2,96,750,3,3,0.01,1500,15.0,1.8950262528960592e-06,1.824441627808809e-05,2.6799718278986737e-06,2.5801500938052645e-05,1,139
2,96,750,3,3,0.01,1700,17.0,1.7647366121309463e-06,8.104344327619354e-06,2.4957144508919327e-06,1.1461273662260753e-05,1,173
2,96,750,3,3,0.01,1900,19.0,1.1191574685653906e-06,5.611687245805231e-06,1.5827276704763162e-06,7.936124210813879e-06,1,212
2,96,750,3,3,0.01,100,1.0,0.0031989872455596927,0.0037827965272112917,0.004524051148529069,0.0053496821524800535,10,4
2,96,750,3,3,0.01,300,3.0,0.0002130437205778435,0.0003840720228021009,0.0003012893190196103,0.0005431598635747998,2,9
2,96,750,3,3,0.01,500,5.0,0.00012408289476297795,0.0006266421495148769,0.00017547971263231693,0.0008862058265985677,1,14
2,96,750,3,3,0.01,700,7.0,1.359088801109465e-05,3.799542959407121e-05,1.9220418149983957e-05,5.373365184012757e-05,1,28
2,96,750,3,3,0.01,900,9.0,6.715746076224605e-06,4.575439927579375e-05,9.497499182450735e-06,6.470649199406124e-05,1,47
5,96,750,3,3,0.01,100,1.0,0.0047908959910273555,0.00488327586880097,0.01071276910906839,0.010919336795523314,11,5
5,96,750,3,3,0.01,300,3.0,0.0013494780287146568,0.0022342081632441245,0.003017524606348386,0.00499584132889881,2,9
5,96,750,3,3,0.01,500,5.0,0.0010194977512583137,0.0019928710162042617,0.002279666274721761,0.0044561950626218145,1,14
5,96,750,3,3,0.01,700,7.0,7.527380366809667e-05,0.0002321012423355849,0.00016831734192683718,0.0005189941555245199,1,28
5,96,750,3,3,0.01,900,9.0,1.4589685997634659e-05,2.2223022696356893e-05,3.2623529661087934e-05,4.969218941457468e-05,1,47
5,96,750,3,3,0.01,1100,11.0,1.1011025344487278e-05,7.960990226890247e-05,2.4621401172246593e-05,0.0001780131531553807,1,69
5,96,750,3,3,0.01,1300,13.0,5.357898771762848e-06,2.3822885570832743e-05,1.1980625870224359e-05,5.3269591556580895e-05,1,98
5,96,750,3,3,0.01,1500,15.0,3.1540360851067818e-06,7.88426791003962e-06,7.052639089786076e-06,1.7629758999668786e-05,1,127
5,96,750,3,3,0.01,1700,17.0,2.383223591095884e-06,1.6896911114226663e-05,5.32904995527156e-06,3.7782641861182536e-05,1,163
5,96,750,3,3,0.01,1900,19.0,1.7400432625436224e-06,1.724819477926641e-05,3.890855018838054e-06,3.8568136015596675e-05,1,209
5,96,750,3,3,0.01,100,1.0,0.009591490030288696,0.015200529940044269,0.021447223713237044,0.03398941823995979,13,6
5,96,750,3,3,0.01,300,3.0,0.0010988443391397595,0.001981161224345366,0.002457090639007335,0.00443001117202295,3,12
5,96,750,3,3,0.01,500,5.0,3.9971029400476256e-05,0.00010206499012919943,8.937793887010758e-05,0.00022822425605173498,2,24
5,96,750,3,3,0.01,700,7.0,4.628012320608832e-05,6.280074164048226e-05,0.00010348550149587899,0.00014042672734552,1,27
5,96,750,3,3,0.01,900,9.0,1.7585246314411052e-05,4.095467144137589e-05,3.932180616010076e-05,9.157742933908579e-05,1,46
5,96,750,3,3,0.01,1100,11.0,7.864401686674684e-06,4.8654222271766346e-05,1.7585336773768596e-05,0.0001087941483920538,1,68
5,96,750,3,3,0.01,1300,13.0,6.309946820692858e-06,1.4675876382870438e-05,1.4109470025477908e-05,3.281625722148203e-05,1,96
5,96,750,3,3,0.01,1500,15.0,3.718442167155444e-06,1.0814426203955334e-05,8.31468945616121e-06,2.4181792129699133e-05,1,127
5,96,750,3,3,0.01,1700,17.0,2.083814706566045e-06,1.0622497851587608e-05,4.659551336395454e-06,2.3752627286995367e-05,1,163
5,96,750,3,3,0.01,1900,19.0,3.476135543678538e-06,3.0408650020082208e-05,7.772875374668402e-06,6.799580854890417e-05,1,203
5,96,750,3,3,0.01,100,1.0,0.0031052624806761743,0.00519248503797616,0.006943577994771554,0.011610749517065271,14,5
5,96,750,3,3,0.01,300,3.0,0.007678325287997723,0.00920311364536293,0.01716925729731856,0.020578787715687406,2,8
5,96,750,3,3,0.01,500,5.0,0.00014348831318784506,0.00036126428219573334,0.0003208496222648011,0.0008078114928323268,1,14
5,96,750,3,3,0.01,700,7.0,8.721300400793552e-05,0.0011634419206529856,0.00019501420548370544,0.0026015352224529925,1,27
5,96,750,3,3,0.01,900,9.0,3.4188716381322595e-05,6.641131996077139e-05,7.644829389209795e-05,0.0001485002259077735,1,46
5,96,750,3,3,0.01,1100,11.0,5.705275452783098e-06,3.637752601767156e-05,1.2757383742783899e-05,8.134262102878083e-05,1,68
5,96,750,3,3,0.01,1300,13.0,7.473365894838934e-06,9.282378391034376e-05,1.67109541615884e-05,0.0002075602907522799,1,95
5,96,750,3,3,0.01,1500,15.0,2.96603989227151e-06,0.00031336192310286255,6.63226682309525e-06,0.0007006985616180625,1,127
5,96,750,3,3,0.01,1700,17.0,3.477301879684091e-06,1.909944160452608e-05,7.775483381261422e-06,4.2707649760007974e-05,1,163
5,96,750,3,3,0.01,1900,19.0,1.80581496351806e-06,1.4478742630858622e-05,4.037925013212686e-06,3.237545275132402e-05,1,203
5,96,750,3,3,0.01,100,1.0,0.009651712514460087,0.017912739971413825,0.02158188528161818,0.040054104239358956,10,4
5,96,750,3,3,0.01,300,3.0,0.008521626517176629,0.017455849354752362,0.01905493617127172,0.03903246576222213,3,12
5,96,750,3,3,0.01,500,5.0,0.0019381013000383974,0.003101821341074239,0.004333726254166573,0.006935883372701559,1,14
5,96,750,3,3,0.01,700,7.0,6.674374744761734e-05,0.00011228576677706606,0.00014924355636595048,0.00025107860741920723,1,27
5,96,750,3,3,0.01,900,9.0,1.861119853856508e-05,7.501018174083676e-05,4.161590507497626e-05,0.00016772786537712453,1,46
5,96,750,3,3,0.01,1100,11.0,7.012684636720224e-06,3.6119709828852094e-05,1.568083955247484e-05,8.076612650488058e-05,1,68
5,96,750,3,3,0.01,1300,13.0,5.390977730712621e-06,5.5592015320517254e-05,1.2054592671060976e-05,0.00012430752526288634,1,95
5,96,750,3,3,0.01,1500,15.0,4.535403422778472e-06,9.76285744003783e-06,1.0141470358717883e-05,2.1830412890564166e-05,1,127
5,96,750,3,3,0.01,1700,17.0,2.6838860321731776e-06,1.5077324580768338e-05,6.001351611801413e-06,3.371392268142652e-05,1,162
5,96,750,3,3,0.01,1900,19.0,2.079061619042477e-06,4.346215220243138e-06,4.64892310958975e-06,9.718432677307878e-06,1,204
5,96,750,3,3,0.01,100,1.0,0.009585997834801675,0.03720915164702978,0.021434942790782344,0.08320219246785686,18,7
5,96,750,3,3,0.01,300,3.0,0.0034301970154047012,0.004878209011318783,0.007670153702661805,0.01090800695776084,2,8
5,96,750,3,3,0.01,500,5.0,0.000784001557622105,0.0013029449693978024,0.001753080777308745,0.0029134735225148697,1,14
5,96,750,3,3,0.01,700,7.0,5.1363887178013104e-05,0.0001994243482327781,0.00011485314331866715,0.00044592639901708193,1,27
5,96,750,3,3,0.01,900,9.0,2.460595133015886e-05,4.815221799594255e-05,5.5020579825286585e-05,0.00010767163270631623,1,45
5,96,750,3,3,0.01,1100,11.0,8.824674478091765e-06,0.0002238868367455255,1.9732572012320665e-05,0.0005006261862303929,1,68
5,96,750,3,3,0.01,1300,13.0,5.680016965925461e-06,2.4405684388721755e-05,1.2700904049161438e-05,5.457276933058725e-05,1,95
5,96,750,3,3,0.01,1500,15.0,2.3658490363231976e-06,4.254737759240995e-06,5.290199269721039e-06,9.513882856097998e-06,1,127
5,96,750,3,3,0.01,1700,17.0,2.053773005172843e-06,2.5653176273921512e-05,4.592376049920504e-06,5.7362245987273266e-05,1,164
5,96,750,3,3,0.01,1900,19.0,1.645711972741992e-06,1.0331272890723016e-05,3.6799238424363753e-06,2.310142847775742e-05,1,204
8,96,750,3,3,0.01,100,1.0,0.008863365650177002,0.01783646319586879,0.025069383821504285,0.05044913631273241,13,5
8,96,750,3,3,0.01,300,3.0,0.009545663744211196,0.015983364807489592,0.026999214257833224,0.045207782566217235,3,12
8,96,750,3,3,0.01,500,5.0,0.009312864579260349,0.018603110566544227,0.02634075878506799,0.05261754253106616,1,14
8,96,750,3,3,0.01,700,7.0,7.56289344280958e-05,0.0003927061162614383,0.00021391092955207717,0.001110740631287583,2,45
8,96,750,3,3,0.01,900,9.0,7.182649715105071e-05,0.00012900489412295894,0.0002031560128175368,0.00036488094176238746,1,45
8,96,750,3,3,0.01,1100,11.0,6.700406083837152e-05,0.00020187182403438224,0.00018951610314339395,0.0005709797428208366,1,67
8,96,750,3,3,0.01,1300,13.0,2.100870478898287e-05,6.631652118253092e-05,5.942159048094434e-05,0.00018757144733147577,1,94
8,96,750,3,3,0.01,1500,15.0,8.801246985967735e-06,3.619487735051781e-05,2.4893685706701795e-05,0.0001023745728750661,1,125
8,96,750,3,3,0.01,1700,17.0,5.609101117443061e-06,1.0483021766888738e-05,1.586493374602012e-05,2.965046311477284e-05,1,160
8,96,750,3,3,0.01,100,1.0,0.009675309993326664,0.023317056481177226,0.027365909225453018,0.06595059502060062,14,5
8,96,750,3,3,0.01,300,3.0,0.00914186667650938,0.021984545418467276,0.025857103678652436,0.06218168458680743,6,22
8,96,750,3,3,0.01,500,5.0,0.0005417795502580702,0.0010912107178368247,0.0015323839755827175,0.0030864099931434364,2,23
8,96,750,3,3,0.01,700,7.0,0.000328208290738985,0.0018108012303948784,0.000928313232092729,0.00512171931757265,1,27
8,96,750,3,3,0.01,900,9.0,0.00010168464068556204,0.000416887655424384,0.0002876075958851137,0.001179136352574171,1,45
8,96,750,3,3,0.01,1100,11.0,2.5303712027380244e-05,0.00018882926237076902,7.156970545500869e-05,0.0005340898076352982,1,67
8,96,750,3,3,0.01,1300,13.0,2.2858777447254395e-05,0.00016639284289200217,6.46543861703508e-05,0.0004706300301993703,1,94
8,96,750,3,3,0.01,1500,15.0,8.037093357415871e-06,5.7163217906446123e-05,2.2732332856232477e-05,0.00016168199606436936,1,125
8,96,750,3,3,0.01,1700,17.0,3.5406363167567177e-06,9.754295462745432e-05,1.0014431797176144e-05,0.0002758931386961787,1,161
8,96,750,3,3,0.01,1900,19.0,7.1323554038826835e-06,2.571772200518843e-05,2.017334748767185e-05,7.274070250615694e-05,1,201
8,96,750,3,3,0.01,100,1.0,0.009588540531694889,0.016847011167556047,0.027120488126574083,0.04765054335721751,21,8
8,96,750,3,3,0.01,300,3.0,0.0014577466761693358,0.003144330888365706,0.0041231302398859505,0.008893510773830849,3,12
8,96,750,3,3,0.01,500,5.0,0.0021386559586972,0.0028956322363601662,0.006049032524079228,0.008190084760610566,1,14
8,96,750,3,3,0.01,700,7.0,0.0016302464064210653,0.002249430812811718,0.004611033155941343,0.006362351126196533,1,27
8,96,750,3,3,0.01,900,9.0,7.669475016882643e-05,0.00033899727956547093,0.00021692551170314112,0.0009588291007381454,1,45
8,96,750,3,3,0.01,1100,11.0,3.2071134774014355e-05,7.404578177673288e-05,9.071086751621298e-05,0.00020943309765034845,1,67
8,96,750,3,3,0.01,1300,13.0,6.0674652922898536e-05,0.0002677799361080337,0.00017161383411168693,0.0007573960347507642,1,94
8,96,750,3,3,0.01,1500,15.0,2.4833419502101602e-06,1.3391158984468813e-05,7.02395173199452e-06,3.787591730346024e-05,1,125
8,96,750,3,3,0.01,1900,19.0,3.344763536006212e-06,1.831799144360374e-05,9.46041991110195e-06,5.1811103869957444e-05,1,200
8,96,750,3,3,0.01,100,1.0,0.009854053519666195,0.017464121743941154,0.027871472263724533,0.0493959956504329,12,5
8,96,750,3,3,0.01,300,3.0,0.001799473911523819,0.003482853677362586,0.005089680821627096,0.009850997812574354,4,15
8,96,750,3,3,0.01,500,5.0,0.008628823980689048,0.01873770147227706,0.0244059998016413,0.05299822309958506,1,14
8,96,750,3,3,0.01,700,7.0,0.00027508530183695257,0.0006950343007562109,0.0007780587293346297,0.0019658538688878684,1,27
8,96,750,3,3,0.01,900,9.0,3.3189588430104776e-05,0.0009459975927035349,9.387433217487067e-05,0.0026756852511472767,2,76
8,96,750,3,3,0.01,1100,11.0,4.025053567602299e-05,0.00016534443271573252,0.00011384570689162766,0.00046766467841894923,1,67
8,96,750,3,3,0.01,1300,13.0,3.6820615059696137e-05,0.0001921415801357048,0.00010414442638468262,0.0005434584570474212,1,94
8,96,750,3,3,0.01,1500,15.0,2.1089841902721675e-05,0.00022420298055527755,5.965108089426679e-05,0.0006341417916514897,1,125
8,96,750,3,3,0.01,1700,17.0,7.279912824742497e-06,6.231553132424895e-05,2.0590702899289335e-05,0.00017625493909047662,1,161
8,96,750,3,3,0.01,1900,19.0,3.2088501939142585e-06,0.00037474291942392785,9.07599892771416e-06,0.0010599330381052135,1,201
8,96,750,3,3,0.01,100,1.0,0.006440198794007302,0.017801135372466,0.018215632957727955,0.050349214138761714,17,7
8,96,750,3,3,0.01,300,3.0,0.0014504597056657076,0.003026069765791106,0.004102519574856263,0.008559017806937916,5,19
8,96,750,3,3,0.01,500,5.0,0.002712036529555917,0.0035779676221024534,0.007670797683498479,0.010120020673818206,2,23
8,96,750,3,3,0.01,700,7.0,0.00033653466962277887,0.000615639308354077,0.0009518637879785655,0.0017412909188086554,2,46
8,96,750,3,3,0.01,900,9.0,0.0001361315415124409,0.0007112372647194812,0.00038503814454729984,0.002011682771662867,1,45
8,96,750,3,3,0.01,1100,11.0,2.0527660672087224e-05,0.0004002794773371604,5.806099225251711e-05,0.0011321613311796523,1,67
8,96,750,3,3,0.01,1300,13.0,1.1126534445793368e-05,3.452733834563286e-05,3.147059183090478e-05,9.765806032207723e-05,1,94
8,96,750,3,3,0.01,1500,15.0,9.644088277127594e-05,0.00035803342605224595,0.0002727760087647444,0.0010126714538119818,1,125
8,96,750,3,3,0.01,1700,17.0,3.462005815890734e-06,6.865839972865965e-06,9.792031155694417e-06,1.941952801342074e-05,1,161
8,96,750,3,3,0.01,1900,19.0,4.091841583431233e-06,1.88707066137375e-05,1.15734757247413e-05,5.337441844942247e-05,1,201
11,96,750,3,3,0.01,100,1.0,0.008518783189356328,0.015889544744426623,0.028253607509482033,0.052699658006826695,26,10
11,96,750,3,3,0.01,300,3.0,0.002176243858411908,0.00463028418389746,0.0072177843306676205,0.015356915310704836,6,22
11,96,750,3,3,0.01,500,5.0,0.002592089213430881,0.004423923826274963,0.008596987344077689,0.014672495432867458,1,14
11,96,750,3,3,0.01,700,7.0,5.008724765502848e-05,8.437942900248648e-05,0.00016612060725333783,0.00027985490602568005,3,64
11,96,750,3,3,0.01,900,9.0,0.008540661074221134,0.016079596494539425,0.028326168244785194,0.053329988352701245,1,45
11,96,750,3,3,0.01,1100,11.0,0.0015177190070971847,0.0017268075130115717,0.0050337044837321055,0.005727172605826133,1,67
11,96,750,3,3,0.01,1300,13.0,2.498403155186679e-05,0.00012255147428218968,8.286265840794289e-05,0.00040645725769891254,1,94
11,96,750,3,3,0.01,1700,17.0,2.3605081423738738e-06,0.00011117888005593649,7.828919822832963e-06,0.0003687386297574685,1,160
11,96,750,3,3,0.01,1900,19.0,7.263457246153849e-06,4.071525442365479e-05,2.409016236628042e-05,0.00013503722216712084,1,200
11,96,750,3,3,0.01,100,1.0,0.008969300054013729,0.014252646300846186,0.02974780291127796,0.04727068004955364,17,7
11,96,750,3,3,0.01,300,3.0,0.002158983005210757,0.0035013781072428594,0.007160536557037998,0.011612757430889336,3,12
11,96,750,3,3,0.01,500,5.0,0.00017440781230106952,0.0004547958591361888,0.0005784452739093786,0.001508387220962066,2,23
11,96,750,3,3,0.01,700,7.0,4.7205714508891106e-05,0.00010989315094962083,0.0001565636429866278,0.0003644743487297805,2,45
11,96,750,3,3,0.01,900,9.0,0.00010131130402442068,0.0003478922164784028,0.0003360115824706264,0.001153827949543958,1,45
11,96,750,3,3,0.01,1100,11.0,0.00018249975400976836,0.0002923696376502705,0.00060528320838256,0.0009696803881781126,1,67
11,96,750,3,3,0.01,1300,13.0,3.4830583172151815e-05,9.748140067900889e-05,0.00011551997561129432,0.0003233092300905686,2,158
11,96,750,3,3,0.01,1500,15.0,1.712776484055212e-05,6.733066682220221e-05,5.680636947355276e-05,0.0002233105587336757,1,125
11,96,750,3,3,0.01,1700,17.0,3.903927063220181e-06,1.9230104697224957e-05,1.2947861277615404e-05,6.377904195994611e-05,1,160
11,96,750,3,3,0.01,1900,19.0,6.214405493665253e-06,8.464511138766121e-05,2.0610851317610967e-05,0.0002807360748107113,1,200
11,96,750,3,3,0.01,100,1.0,0.009903688356280327,0.030028057833894704,0.03284681831839346,0.09959180101812085,50,19
