Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
50,64,500,2,3,0.01,100,1.0,0.01519891182677104,0.05028345206609139,0.01519891182677104,0.05028345206609139,32,8
50,64,500,2,3,0.01,300,3.0,0.007712088570466395,0.03883812418923928,0.007712088570466395,0.03883812418923928,26,53
50,64,500,2,3,0.01,500,5.0,0.0077835251571825494,0.02781420045842727,0.0077835251571825494,0.02781420045842727,6,40
50,64,500,2,3,0.01,700,7.0,0.012446995995955343,0.04581573414496887,0.012446995995955343,0.04581573414496887,10,119
50,64,500,2,3,0.01,900,9.0,0.02820005522812111,0.0045389277526201345,0.02820005522812111,0.0045389277526201345,0,30
50,64,500,2,3,0.01,1100,11.0,0.015326651997465883,0.03662472402151579,0.015326651997465883,0.03662472402151579,11,311
50,64,500,2,3,0.01,1300,13.0,0.0065562062386618465,0.04468654972524979,0.0065562062386618465,0.04468654972524979,13,508
50,64,500,2,3,0.01,1500,15.0,0.0151746888661057,0.03123945217484083,0.0151746888661057,0.03123945217484083,2,177
50,64,500,2,3,0.01,1700,17.0,0.015971859562758223,0.03550966886373667,0.015971859562758223,0.03550966886373667,9,640
50,64,500,2,3,0.01,1900,19.0,0.010409728811467357,0.0001763925188592671,0.010409728811467357,0.0001763925188592671,0,135
100,64,500,2,3,0.01,100,1.0,0.014908648310945584,0.0487206381960557,0.014908648310945584,0.0487206381960557,26,6
100,64,500,2,3,0.01,300,3.0,0.01040108820699825,0.05084053317132669,0.01040108820699825,0.05084053317132669,13,29
100,64,500,2,3,0.01,500,5.0,0.01667867818202537,0.03199600199094185,0.01667867818202537,0.03199600199094185,8,53
100,64,500,2,3,0.01,700,7.0,0.011505120358469558,0.044296275585507736,0.011505120358469558,0.044296275585507736,32,360
100,64,500,2,3,0.01,900,9.0,0.0205822306120493,0.03766266762828215,0.0205822306120493,0.03766266762828215,1,48
100,64,500,2,3,0.01,1100,11.0,0.019009927930946368,0.023229403516803034,0.019009927930946368,0.023229403516803034,5,179
100,64,500,2,3,0.01,1300,13.0,0.008232971187120634,0.04478267735491196,0.008232971187120634,0.04478267735491196,8,360
100,64,500,2,3,0.01,1500,15.0,0.008345905540861126,0.04082124286259596,0.008345905540861126,0.04082124286259596,8,480
100,64,500,2,3,0.01,1700,17.0,0.019368312352967786,0.00031141392947831313,0.019368312352967786,0.00031141392947831313,0,114
100,64,500,2,3,0.01,1900,19.0,0.015541085662324419,0.039112613417017154,0.015541085662324419,0.039112613417017154,11,1027
150,64,500,2,3,0.01,100,1.0,0.017569383785415154,0.04096144743454762,0.017569383785415154,0.04096144743454762,17,4
150,64,500,2,3,0.01,300,3.0,0.007322232974307896,0.05992628949192854,0.007322232974307896,0.05992628949192854,17,35
150,64,500,2,3,0.01,500,5.0,0.02397549483829584,0.0416060804317777,0.02397549483829584,0.0416060804317777,1,15
150,64,500,2,3,0.01,700,7.0,0.01306200269614562,0.042116862745621264,0.01306200269614562,0.042116862745621264,6,80
150,64,500,2,3,0.01,900,9.0,0.016350726589203418,0.03661188359061877,0.016350726589203418,0.03661188359061877,3,82
150,64,500,2,3,0.01,1100,11.0,0.008919054032226974,0.05193626503340709,0.008919054032226974,0.05193626503340709,8,249
150,64,500,2,3,0.01,1300,13.0,0.013651093454022187,0.03186252314406328,0.013651093454022187,0.03186252314406328,8,350
150,64,500,2,3,0.01,1500,15.0,0.013581236983766027,0.0009201860666507855,0.013581236983766027,0.0009201860666507855,1,580
150,64,500,2,3,0.01,1700,17.0,0.00020994222664831027,3.372758690089447e-05,0.00020994222664831027,3.372758690089447e-05,10,735
150,64,500,2,3,0.01,1900,19.0,0.01666874099497918,0.03658931200894026,0.01666874099497918,0.03658931200894026,4,452
200,64,500,2,3,0.01,100,1.0,0.014842258378242454,0.03983289748430252,0.014842258378242454,0.03983289748430252,12,3
200,64,500,2,3,0.01,300,3.0,0.013055400669138968,0.050235806176295646,0.013055400669138968,0.050235806176295646,15,35
200,64,500,2,3,0.01,500,5.0,0.01548427239132042,0.03267492191531719,0.01548427239132042,0.03267492191531719,10,67
200,64,500,2,3,0.01,700,7.0,0.007254962634532501,0.05099664298960796,0.007254962634532501,0.05099664298960796,9,119
200,64,500,2,3,0.01,900,9.0,0.01732486403113828,0.03742126530657212,0.01732486403113828,0.03742126530657212,2,70
200,64,500,2,3,0.01,1100,11.0,0.017167767108595043,0.037708743738058284,0.017167767108595043,0.037708743738058284,40,1127
200,64,500,2,3,0.01,1300,13.0,0.014021246726147818,0.03505122773826887,0.014021246726147818,0.03505122773826887,7,759
200,64,500,2,3,0.01,1500,15.0,0.01239061734031074,0.05146370255030119,0.01239061734031074,0.05146370255030119,12,694
