Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
10,96,750,3,3,0.01,100,1.0,0.008917660852416586,0.01313741717164156,0.008917660852416586,0.01313741717164156,24,10
10,96,750,3,3,0.01,300,3.0,0.0019763819253890537,0.0022587099904643666,0.0019763819253890537,0.0022587099904643666,2,10
10,96,750,3,3,0.01,500,5.0,0.00011616988603726406,0.00021358516819286984,0.00011616988603726406,0.00021358516819286984,2,27
10,96,750,3,3,0.01,700,7.0,0.0006998882720536747,0.0002686536657156788,0.0006998882720536747,0.0002686536657156788,1,37
10,96,750,3,3,0.01,900,9.0,0.0018244793829341498,0.00021546488486764163,0.0018244793829341498,0.00021546488486764163,1,62
10,96,750,3,3,0.01,1100,11.0,8.056146427605295e-05,4.101801107810148e-05,8.056146427605295e-05,4.101801107810148e-05,1,90
10,96,750,3,3,0.01,1300,13.0,0.00010074569758882767,3.466867759767744e-05,0.00010074569758882767,3.466867759767744e-05,1,126
10,96,750,3,3,0.01,1500,15.0,0.0034884482616313146,8.70657031584555e-05,0.0034884482616313146,8.70657031584555e-05,0,107
10,96,750,3,3,0.01,1700,17.0,0.02948680175334189,0.03456353435107174,0.02948680175334189,0.03456353435107174,50,4029
10,96,750,3,3,0.01,1900,19.0,0.0046469785460055025,1.3644429695433798e-05,0.0046469785460055025,1.3644429695433798e-05,0,173
10,96,750,3,3,0.01,100,1.0,0.009005340792310353,0.010938797521905021,0.009005340792310353,0.010938797521905021,37,12
10,96,750,3,3,0.01,300,3.0,0.007645148367085594,0.0029593524755161388,0.007645148367085594,0.0029593524755161388,5,17
10,96,750,3,3,0.01,500,5.0,0.0016517262660020677,0.00220923759889193,0.0016517262660020677,0.00220923759889193,1,19
10,96,750,3,3,0.01,700,7.0,0.00020130995491638728,8.519011508662948e-05,0.00020130995491638728,8.519011508662948e-05,2,50
10,96,750,3,3,0.01,900,9.0,0.00018514663971795018,0.000121874538168103,0.00018514663971795018,0.000121874538168103,1,59
10,96,750,3,3,0.01,1100,11.0,0.00859213818227996,3.0910569721147104e-05,0.00859213818227996,3.0910569721147104e-05,0,55
10,96,750,3,3,0.01,1300,13.0,0.008646592944019187,9.972155465899032e-05,0.008646592944019187,9.972155465899032e-05,0,77
10,96,750,3,3,0.01,1500,15.0,4.22465112851208e-05,3.4797882002971505e-05,4.22465112851208e-05,3.4797882002971505e-05,1,164
10,96,750,3,3,0.01,1700,17.0,5.1981935197063625e-05,4.5392350672232885e-05,5.1981935197063625e-05,4.5392350672232885e-05,1,210
10,96,750,3,3,0.01,1900,19.0,0.004467987738966693,1.4948195305855427e-05,0.004467987738966693,1.4948195305855427e-05,0,164
10,96,750,3,3,0.01,100,1.0,0.008678348520054268,0.01462046913443271,0.008678348520054268,0.01462046913443271,10,4
10,96,750,3,3,0.01,300,3.0,0.0018187041227345736,0.0011615809637130841,0.0018187041227345736,0.0011615809637130841,4,15
10,96,750,3,3,0.01,500,5.0,0.0009776986809372783,0.0003168456162527425,0.0009776986809372783,0.0003168456162527425,2,26
10,96,750,3,3,0.01,700,7.0,0.00020471112255814506,5.565515818410116e-05,0.00020471112255814506,5.565515818410116e-05,1,36
10,96,750,3,3,0.01,900,9.0,8.431335123254393e-05,4.72128411514555e-05,8.431335123254393e-05,4.72128411514555e-05,1,62
10,96,750,3,3,0.01,1100,11.0,0.0002400438552446588,0.0005047552436747412,0.0002400438552446588,0.0005047552436747412,1,93
10,96,750,3,3,0.01,1300,13.0,0.007482766117603208,0.000120222192361331,0.007482766117603208,0.000120222192361331,0,82
