Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
10,96,750,3,3,0.01,100,1.0,0.008212074550847786,0.007854474983058678,0.008212074550847786,0.007854474983058678,13,6
10,96,750,3,3,0.01,300,3.0,0.001153646766467348,0.0002613158027928036,0.001153646766467348,0.0002613158027928036,3,15
10,96,750,3,3,0.01,500,5.0,0.005457728948318758,0.0005558107107227,0.005457728948318758,0.0005558107107227,1,23
10,96,750,3,3,0.01,700,7.0,0.0005337359642958941,0.0003248149725363757,0.0005337359642958941,0.0003248149725363757,1,45
10,96,750,3,3,0.01,900,9.0,0.008585826639721076,8.813203282606525e-05,0.008585826639721076,8.813203282606525e-05,0,45
10,96,750,3,3,0.01,1100,11.0,8.160053363376321e-05,3.4574603281119685e-05,8.160053363376321e-05,3.4574603281119685e-05,1,113
10,96,750,3,3,0.01,1300,13.0,0.00759251640341879,2.8332859796930094e-05,0.00759251640341879,2.8332859796930094e-05,0,95
10,96,750,3,3,0.01,1500,15.0,0.0055528086856039445,9.099405883133817e-05,0.0055528086856039445,9.099405883133817e-05,0,124
10,96,750,3,3,0.01,1700,17.0,0.0037606223424278633,3.171033506824199e-05,0.0037606223424278633,3.171033506824199e-05,0,171
10,96,750,3,3,0.01,1900,19.0,0.007583008574479348,1.4246349279253478e-05,0.007583008574479348,1.4246349279253478e-05,0,203
10,96,750,3,3,0.01,100,1.0,0.028512047245525397,0.029895407983507864,0.028512047245525397,0.029895407983507864,100,3
10,96,750,3,3,0.01,300,3.0,0.007600213059412844,0.002264615334868909,0.007600213059412844,0.002264615334868909,2,12
10,96,750,3,3,0.01,500,5.0,0.00059902718792168,0.0006666825013384462,0.00059902718792168,0.0006666825013384462,2,33
10,96,750,3,3,0.01,700,7.0,0.0002611761921330748,8.296284590286609e-05,0.0002611761921330748,8.296284590286609e-05,1,47
10,96,750,3,3,0.01,900,9.0,0.00018241668419147628,0.0002923759914268978,0.00018241668419147628,0.0002923759914268978,1,80
10,96,750,3,3,0.01,1100,11.0,5.200609232111715e-05,2.828556537282659e-05,5.200609232111715e-05,2.828556537282659e-05,1,118
10,96,750,3,3,0.01,1300,13.0,4.482047179284512e-05,2.3193268111171143e-05,4.482047179284512e-05,2.3193268111171143e-05,1,157
10,96,750,3,3,0.01,1500,15.0,0.004706678195824958,3.7984373333389296e-05,0.004706678195824958,3.7984373333389296e-05,0,128
10,96,750,3,3,0.01,1700,17.0,0.005227610617698604,1.9165273314660553e-05,0.005227610617698604,1.9165273314660553e-05,0,171
10,96,750,3,3,0.01,1900,19.0,3.087032463328631e-05,9.008976535486186e-06,3.087032463328631e-05,9.008976535486186e-06,1,373
10,96,750,3,3,0.01,100,1.0,0.008769119427037926,0.009911586626026874,0.008769119427037926,0.009911586626026874,17,8
10,96,750,3,3,0.01,100,1.0,0.0060049436000695865,0.02207570136166536,0.0060049436000695865,0.02207570136166536,42,18
10,96,750,3,3,0.01,300,3.0,0.0052391184957232325,0.002814620264614813,0.0052391184957232325,0.002814620264614813,2,12
10,96,750,3,3,0.01,500,5.0,0.0015730120141610499,0.0010246655841071445,0.0015730120141610499,0.0010246655841071445,2,35
