Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
10,96,750,3,3,0.01,100,1.0,0.005205876369319566,0.008764579647387832,0.005205876369319566,0.008764579647387832,10,5
10,96,750,3,3,0.01,300,3.0,0.002529772599809803,0.0024094917671157955,0.002529772599809803,0.0024094917671157955,10,40
10,96,750,3,3,0.01,500,5.0,0.008249832486839463,0.0007423479475666028,0.008249832486839463,0.0007423479475666028,1,24
10,96,750,3,3,0.01,700,7.0,0.00035264369175986866,0.000151286795302533,0.00035264369175986866,0.000151286795302533,1,47
10,96,750,3,3,0.01,900,9.0,0.009088352558729446,0.000356379173657236,0.009088352558729446,0.000356379173657236,0,48
10,96,750,3,3,0.01,1100,11.0,0.005288954281892821,8.542886494885747e-05,0.005288954281892821,8.542886494885747e-05,0,72
10,96,750,3,3,0.01,1300,13.0,9.241376542700147e-05,2.055777497681004e-05,9.241376542700147e-05,2.055777497681004e-05,1,160
10,96,750,3,3,0.01,1500,15.0,7.413322511145849e-05,0.00010427307773706838,7.413322511145849e-05,0.00010427307773706838,1,211
10,96,750,3,3,0.01,1700,17.0,0.004029074513402087,7.169313460345178e-05,0.004029074513402087,7.169313460345178e-05,0,161
10,96,750,3,3,0.01,1900,19.0,0.0040577589285593855,1.1959160357759967e-05,0.0040577589285593855,1.1959160357759967e-05,0,200
10,96,750,3,3,0.01,100,1.0,0.007089710401298551,0.010029171175586108,0.007089710401298551,0.010029171175586108,11,5
10,96,750,3,3,0.01,300,3.0,0.0038509403467178343,0.003367877060857912,0.0038509403467178343,0.003367877060857912,3,15
10,96,750,3,3,0.01,500,5.0,0.0016202527432835657,0.0009259653765744028,0.0016202527432835657,0.0009259653765744028,1,23
10,96,750,3,3,0.01,700,7.0,0.0010383132036443593,0.00032390101132944273,0.0010383132036443593,0.00032390101132944273,2,64
