Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
10,96,750,3,3,0.01,100,1.0,0.009725687559694052,0.03472069240151308,0.009725687559694052,0.03472069240151308,34,15
10,96,750,3,3,0.01,300,3.0,0.009468289092183113,0.01912555816129614,0.009468289092183113,0.01912555816129614,5,20
10,96,750,3,3,0.01,500,5.0,0.0004050599585752934,0.0007197264647588898,0.0004050599585752934,0.0007197264647588898,2,24
10,96,750,3,3,0.01,700,7.0,0.0014281554613262415,0.002750522633178685,0.0014281554613262415,0.002750522633178685,1,28
10,96,750,3,3,0.01,900,9.0,8.991859649540857e-05,0.00024168315585717582,8.991859649540857e-05,0.00024168315585717582,1,46
10,96,750,3,3,0.01,1100,11.0,2.3590336786583067e-05,6.247948672703038e-05,2.3590336786583067e-05,6.247948672703038e-05,1,69
10,96,750,3,3,0.01,1300,13.0,1.667723408900201e-05,6.225588549568783e-05,1.667723408900201e-05,6.225588549568783e-05,1,97
10,96,750,3,3,0.01,1500,15.0,2.2438484666054138e-05,0.00012789257352079192,2.2438484666054138e-05,0.00012789257352079192,1,129
10,96,750,3,3,0.01,1900,19.0,6.534086605824996e-06,3.2727089441882876e-05,6.534086605824996e-06,3.2727089441882876e-05,1,216
10,96,750,3,3,0.01,100,1.0,0.008635129965841771,0.017277871545117635,0.008635129965841771,0.017277871545117635,18,7
10,96,750,3,3,0.01,300,3.0,0.003426728956401348,0.004687478855395546,0.003426728956401348,0.004687478855395546,3,12
10,96,750,3,3,0.01,500,5.0,0.000488624395802617,0.0006875779195420014,0.000488624395802617,0.0006875779195420014,2,24
10,96,750,3,3,0.01,700,7.0,0.0005234153766650707,0.0008220261441191467,0.0005234153766650707,0.0008220261441191467,1,30
10,96,750,3,3,0.01,900,9.0,5.209950322750955e-05,0.0009104097508288061,5.209950322750955e-05,0.0009104097508288061,1,50
10,96,750,3,3,0.01,1100,11.0,2.9384124718490054e-05,0.0003348058692212455,2.9384124718490054e-05,0.0003348058692212455,1,70
10,96,750,3,3,0.01,1300,13.0,7.682086579734458e-05,0.00010745077708680839,7.682086579734458e-05,0.00010745077708680839,1,99
10,96,750,3,3,0.01,1500,15.0,1.1465712668723427e-05,2.442923712992641e-05,1.1465712668723427e-05,2.442923712992641e-05,1,139
25,64,500,3,3,0.01,100,1.0,0.009855524450540543,0.04903127893041342,0.009855524450540543,0.04903127893041342,41,18
25,64,500,3,3,0.01,300,3.0,0.00989226009696722,0.03808330484212209,0.00989226009696722,0.03808330484212209,5,20
25,64,500,3,3,0.01,500,5.0,0.00394752430729568,0.005348456169789036,0.00394752430729568,0.005348456169789036,3,36
