Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs
100,64,500,2,3,0.01,10000,1.0,0.007909873500466347,0.009064167737960815,0.07909873500466347,0.09064167737960815,0
200,64,500,2,3,0.01,10000,1.0,0.010901515372097492,0.011148933321237564,0.1541707088963905,0.15766972303390503,100
300,64,500,2,3,0.01,10000,1.0,0.009160080924630165,0.010088535957038403,0.15865725562901947,0.1747385710477829,3
400,64,500,2,3,0.01,10000,1.0,0.010652007535099983,0.010808529332280159,0.21304015070199966,0.21617057919502258,100
100,64,500,2,3,0.01,10000,1.0,0.008223900571465492,0.008309480734169483,0.08223900571465492,0.08309480547904968,0
200,64,500,2,3,0.01,10000,1.0,0.008299807086586952,0.007728635799139738,0.11737699746931593,0.10929941385984421,0
300,64,500,2,3,0.01,10000,1.0,0.007350374944508076,0.007539625745266676,0.12731222858569255,0.13059015572071075,0
400,64,500,2,3,0.01,10000,1.0,0.00969519093632698,0.009838826023042202,0.1939038187265396,0.19677652418613434,2
100,64,500,2,3,0.01,10000,1.0,0.00842779129743576,0.00845058262348175,0.0842779129743576,0.0845058262348175,0
200,64,500,2,3,0.01,10000,1.0,0.009696751832962036,0.010495956987142563,0.13713277953141081,0.14843524992465973,0
300,64,500,2,3,0.01,10000,1.0,0.009239455685019493,0.009225173853337765,0.1600320668073487,0.1597847044467926,0
400,64,500,2,3,0.01,10000,1.0,0.009511653333902359,0.009418543428182602,0.19023306667804718,0.18837086856365204,0
100,64,500,2,3,0.01,10000,1.0,0.008065240457654,0.008734879083931446,0.08065240457654,0.08734878897666931,0
200,64,500,2,3,0.01,10000,1.0,0.009014956653118134,0.009189730510115623,0.1274907396304523,0.12996241450309753,0
300,64,500,2,3,0.01,10000,1.0,0.0069364383816719055,0.006831103470176458,0.12014263700626582,0.11831818521022797,0
400,64,500,2,3,0.01,10000,1.0,0.006948266644030809,0.0072652800008654594,0.1389653328806162,0.1453056037425995,0
100,64,500,2,3,0.01,10000,1.0,0.009242163971066475,0.00941584911197424,0.09242163971066475,0.09415849298238754,0
200,64,500,2,3,0.01,10000,1.0,0.008692076429724693,0.009106342680752277,0.12292452372100172,0.12878313660621643,0
300,64,500,2,3,0.01,10000,1.0,0.006772900931537151,0.006223725620657206,0.11731008528052925,0.10779809206724167,0
400,64,500,2,3,0.01,10000,1.0,0.007014795672148466,0.006819945760071278,0.14029591344296932,0.13639891147613525,0
