Input dim,Multiplier,Hidden dim r,Hidden dim fc,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
20,3,64,300,0.001,2,3,564,0.04838288202881813,0.08114054054021835
40,1,64,300,0.001,2,3,788,0.04805435612797737,0.05446391925215721
60,1,64,300,0.001,2,3,1482,0.04848659783601761,0.18011794984340668
80,0,64,300,0.001,2,3,1480,0.04658931493759155,0.05632562190294266
100,0,64,300,0.001,2,3,1852,0.04830855876207352,0.08380311727523804
120,0,64,300,0.001,2,3,3539,0.04981492459774017,0.09489460289478302
140,0,64,300,0.001,2,3,2726,0.04963280260562897,0.05504872277379036
160,0,64,300,0.001,2,3,3920,0.041786640882492065,0.0835031047463417
180,0,64,300,0.001,2,3,3663,0.04991742968559265,0.1721227467060089
200,0,64,300,0.001,2,3,6729,0.04701104760169983,0.0654863566160202
220,0,64,300,0.001,2,3,6705,0.04811669886112213,0.12414444983005524
240,0,64,300,0.001,2,3,7290,0.043237656354904175,0.07043485343456268
260,0,64,300,0.001,2,3,10548,0.04896135628223419,0.07569433003664017
280,0,64,300,0.001,2,3,8289,0.04782116413116455,0.06696260720491409
300,0,64,300,0.001,2,3,8954,0.04969547688961029,0.27455228567123413
320,0,64,300,0.001,2,3,13523,0.043847352266311646,0.06963767856359482
340,0,64,300,0.001,2,3,19251,0.049966469407081604,0.07496245205402374
360,0,64,300,0.001,2,3,11577,0.044190943241119385,0.11213115602731705
380,0,64,300,0.001,2,3,12092,0.04741890728473663,0.13729047775268555
400,0,64,300,0.001,2,3,17893,0.048059672117233276,0.1632152944803238
20,3,64,300,0.001,2,3,608,0.04786321148276329,0.07510313391685486
40,1,64,300,0.001,2,3,815,0.047899119555950165,0.1631317138671875
60,1,64,300,0.001,2,3,1015,0.04661036282777786,0.051590971648693085
80,0,64,300,0.001,2,3,1638,0.04955603927373886,0.07586719840765
100,0,64,300,0.001,2,3,1934,0.04335259646177292,0.059246450662612915
120,0,64,300,0.001,2,3,2537,0.04970957338809967,0.07746226340532303
140,0,64,300,0.001,2,3,2929,0.048141539096832275,0.16129444539546967
160,0,64,300,0.001,2,3,3137,0.049660831689834595,0.20370322465896606
180,0,64,300,0.001,2,3,4050,0.04983454942703247,0.09478060901165009
200,0,64,300,0.001,2,3,5786,0.04833437502384186,0.09329798817634583
220,0,64,300,0.001,2,3,5948,0.048314422369003296,0.10036980360746384
240,0,64,300,0.001,2,3,7132,0.04554226994514465,0.08547737449407578
260,0,64,300,0.001,2,3,8726,0.04747171700000763,0.11914505064487457
280,0,64,300,0.001,2,3,8182,0.049909934401512146,0.1531481146812439
300,0,64,300,0.001,2,3,11519,0.048066407442092896,0.1178707703948021
320,0,64,300,0.001,2,3,10136,0.048777371644973755,0.09701276570558548
340,0,64,300,0.001,2,3,11090,0.04909700155258179,0.07049708068370819
360,0,64,300,0.001,2,3,13015,0.04581180214881897,0.06421593576669693
380,0,64,300,0.001,2,3,22434,0.04646265506744385,0.07220940291881561
400,0,64,300,0.001,2,3,27389,0.04850435256958008,0.059518758207559586
20,3,64,300,0.001,2,3,678,0.0483318492770195,0.07184165716171265
40,1,64,300,0.001,2,3,936,0.049130406230688095,0.06718717515468597
60,1,64,300,0.001,2,3,1027,0.04556073993444443,0.07343637198209763
80,0,64,300,0.001,2,3,1477,0.048804230988025665,0.09957963228225708
100,0,64,300,0.001,2,3,2633,0.047393642365932465,0.11087489128112793
120,0,64,300,0.001,2,3,2909,0.0484406054019928,0.13995665311813354
140,0,64,300,0.001,2,3,3326,0.0498708039522171,0.1325269192457199
160,0,64,300,0.001,2,3,3551,0.04634614288806915,0.13683542609214783
180,0,64,300,0.001,2,3,4426,0.04863518476486206,0.07241895794868469
200,0,64,300,0.001,2,3,4875,0.047746509313583374,0.15188033878803253
220,0,64,300,0.001,2,3,5329,0.04892556369304657,0.10986337065696716
240,0,64,300,0.001,2,3,5299,0.048875898122787476,0.09817501157522202
260,0,64,300,0.001,2,3,7036,0.04902084171772003,0.06204518303275108
280,0,64,300,0.001,2,3,10660,0.04969458281993866,0.09832337498664856
300,0,64,300,0.001,2,3,10027,0.04959450662136078,0.0764441266655922
320,0,64,300,0.001,2,3,9896,0.0469917356967926,0.18303579092025757
340,0,64,300,0.001,2,3,12317,0.04454328119754791,0.08538549393415451
360,0,64,300,0.001,2,3,13977,0.04641713201999664,0.10281931608915329
380,0,64,300,0.001,2,3,12721,0.04967416822910309,0.11753194779157639
400,0,64,300,0.001,2,3,13385,0.04926787316799164,0.08311185985803604
