Input dim,Multiplier,Hidden dim r,Hidden dim fc,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
15,1,16,64,0.001,2,3,1215,0.048135049641132355,0.08094362169504166
15,2,32,64,0.001,2,3,901,0.04575278237462044,0.07778429239988327
15,3,48,64,0.001,2,3,846,0.048255644738674164,0.07382519543170929
15,4,64,64,0.001,2,3,977,0.04731278494000435,0.05115463212132454
15,5,80,64,0.001,2,3,690,0.04686049371957779,0.07212617248296738
15,6,96,64,0.001,2,3,731,0.049734149128198624,0.04478129744529724
15,7,112,64,0.001,2,3,634,0.04657646268606186,0.07620178908109665
15,8,128,64,0.001,2,3,707,0.048261359333992004,0.05727192386984825
15,9,144,64,0.001,2,3,693,0.041958149522542953,0.07468836009502411
15,10,160,64,0.001,2,3,691,0.04370087757706642,0.05621770769357681
15,11,176,64,0.001,2,3,682,0.0453566238284111,0.10150893032550812
15,12,192,64,0.001,2,3,784,0.04354451596736908,0.077243372797966
15,13,208,64,0.001,2,3,723,0.04640035331249237,0.09752514213323593
15,14,224,64,0.001,2,3,716,0.047695185989141464,0.12913720309734344
15,16,240,64,0.001,2,3,710,0.046912409365177155,0.048033151775598526
15,17,256,64,0.001,2,3,644,0.04827174171805382,0.06496711820363998
50,0,16,64,0.001,2,3,2407,0.04445239156484604,0.07282117754220963
50,0,32,64,0.001,2,3,1938,0.04505148530006409,0.057015009224414825
50,0,48,64,0.001,2,3,1451,0.0490419864654541,0.06882385164499283
50,1,64,64,0.001,2,3,2251,0.04919248819351196,0.1072857603430748
50,1,80,64,0.001,2,3,1812,0.04884853959083557,0.0839267149567604
50,1,96,64,0.001,2,3,2486,0.048064880073070526,0.09569526463747025
50,2,112,64,0.001,2,3,2314,0.04924575239419937,0.07570480555295944
50,2,128,64,0.001,2,3,2728,0.04806865006685257,0.145379438996315
50,2,144,64,0.001,2,3,2916,0.04720739275217056,0.06257051229476929
50,3,160,64,0.001,2,3,3179,0.04518511891365051,0.09435205161571503
50,3,176,64,0.001,2,3,4792,0.047221675515174866,0.06350289285182953
50,3,192,64,0.001,2,3,6137,0.04946630448102951,0.10624013841152191
50,4,208,64,0.001,2,3,3279,0.049781620502471924,0.0557718425989151
50,4,224,64,0.001,2,3,14239,0.04501422494649887,0.06195100396871567
50,4,240,64,0.001,2,3,15000,0.5153230428695679,0.5144960284233093
50,5,256,64,0.001,2,3,9608,0.046352848410606384,0.14852049946784973
75,0,16,64,0.001,2,3,6198,0.04502859711647034,0.06602410972118378
75,0,32,64,0.001,2,3,5548,0.0473114550113678,0.06794025748968124
75,0,48,64,0.001,2,3,3140,0.04785904288291931,0.0799625888466835
75,0,64,64,0.001,2,3,2824,0.04410562664270401,0.1728072315454483
75,1,80,64,0.001,2,3,2829,0.04737212508916855,0.0671621635556221
75,1,96,64,0.001,2,3,2982,0.0482177808880806,0.08137185126543045
75,1,112,64,0.001,2,3,3344,0.04705997556447983,0.05122222751379013
75,1,128,64,0.001,2,3,4047,0.04925105720758438,0.059419918805360794
75,1,144,64,0.001,2,3,9351,0.04815331846475601,0.05092639476060867
75,2,160,64,0.001,2,3,11505,0.04977710545063019,0.057177938520908356
75,2,176,64,0.001,2,3,10493,0.04814766347408295,0.05004624277353287
75,2,192,64,0.001,2,3,9944,0.04936705529689789,0.053849540650844574
75,2,208,64,0.001,2,3,15000,0.624884843826294,0.5103126168251038
75,2,224,64,0.001,2,3,15000,0.12567314505577087,0.17395347356796265
75,3,240,64,0.001,2,3,15000,0.515444815158844,0.5122362375259399
75,3,256,64,0.001,2,3,15000,0.5008128881454468,0.5446392893791199
