Input dim,Multiplier,Hidden dim,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
15,1,24,0.001,2,2,1477,0.04806709662079811,0.0701291486620903
15,1,24,0.001,4,2,1376,0.04805651679635048,0.051942378282547
15,1,24,0.001,6,2,1539,0.04894275590777397,0.060947928577661514
15,1,24,0.001,8,2,2723,0.046320490539073944,0.06508055329322815
15,1,24,0.001,10,2,2699,0.04761739820241928,0.07610969245433807
15,1,24,0.001,12,2,15000,0.4954751133918762,0.5241517424583435
15,1,24,0.001,14,2,15000,0.46278172731399536,0.4835149347782135
15,1,24,0.001,16,2,15000,0.5141595602035522,0.5549958944320679
15,1,24,0.001,18,2,15000,0.5113633275032043,0.5010311603546143
15,1,24,0.001,20,2,15000,0.4671187102794647,0.47266075015068054
15,1,24,0.001,22,2,15000,0.5511784553527832,0.5303521156311035
15,1,24,0.001,24,2,15000,0.5166938900947571,0.5208584666252136
30,0,24,0.001,2,2,2501,0.04855746030807495,0.0693458616733551
30,0,24,0.001,4,2,2741,0.04900704324245453,0.07028552889823914
30,0,24,0.001,6,2,6451,0.04724755138158798,0.05924425646662712
30,0,24,0.001,2,2,3763,0.04996192455291748,0.06573646515607834
30,0,24,0.001,4,2,2800,0.04609175771474838,0.048444997519254684
30,0,24,0.001,6,2,4247,0.048342280089855194,0.07980769872665405
30,0,24,0.001,8,2,15000,0.5636484622955322,0.5057779550552368
30,0,24,0.001,10,2,15000,0.5287181735038757,0.5565999746322632
30,0,24,0.001,12,2,15000,0.48430150747299194,0.5864699482917786
30,0,24,0.001,14,2,15000,0.542606770992279,0.5155736804008484
45,0,24,0.001,2,2,3207,0.04976283013820648,0.07527442276477814
45,0,24,0.001,4,2,9152,0.04764210432767868,0.09091366082429886
45,0,24,0.001,6,2,4440,0.044069357216358185,0.05770695209503174
45,0,24,0.001,8,2,15000,0.46550846099853516,0.5098450183868408
45,0,24,0.001,10,2,15000,0.6155131459236145,0.545200526714325
45,0,24,0.001,12,2,15000,0.5468550324440002,0.49330466985702515
45,0,24,0.001,14,2,15000,0.5092026591300964,0.5063614249229431
75,0,24,0.001,2,2,6066,0.04972091317176819,0.07030221074819565
75,0,24,0.001,4,2,15000,0.5757174491882324,0.5111697912216187
75,0,24,0.001,6,2,15000,0.5574773550033569,0.5361660122871399
75,0,24,0.001,8,2,15000,0.5590587854385376,0.5915728211402893
75,0,24,0.001,10,2,15000,0.5326876044273376,0.5577064752578735
15,2,32,0.001,2,2,1296,0.046979036182165146,0.11394535005092621
15,2,32,0.001,4,2,1319,0.04099016264081001,0.07290265709161758
15,2,32,0.001,6,2,1259,0.0475824736058712,0.055129099637269974
