Input Dim,Hidden dim,Layers,Epochs
5,64,1,1.0
5,64,2,1.2144053601340032
5,64,3,1.082077051926298
5,64,4,1.0268006700167505
5,64,5,1.0938023450586265
5,64,6,1.1440536013400335
5,64,7,1.0603015075376885
5,32,1,1.081203007518797
5,32,2,1.0
5,32,3,1.2090225563909776
5,32,4,1.0270676691729324
5,32,5,1.0451127819548873
5,32,6,1.132330827067669
5,32,7,1.0827067669172932
10,64,1,1.6168958742632613
10,64,2,1.2730844793713163
10,64,3,1.1709233791748526
10,64,4,1.0
10,64,5,1.0255402750491158
10,64,6,1.2711198428290766
10,64,7,1.2220039292730844
10,32,1,1.9695945945945945
10,32,2,1.5456081081081081
10,32,3,1.5439189189189189
10,32,4,1.0
10,32,5,1.4070945945945945
10,32,6,1.3868243243243243
10,32,7,1.400337837837838
15,64,1,1.4363103953147878
15,64,2,1.2547584187408491
15,64,3,1.4568081991215227
15,64,4,1.0
15,64,5,1.08199121522694
15,64,6,1.4846266471449487
15,64,7,2.2503660322108345
15,32,1,1.8708920187793427
15,32,2,1.4929577464788732
15,32,3,1.181924882629108
15,32,4,1.0
15,32,5,1.1678403755868545
15,32,6,1.5481220657276995
15,32,7,1.4307511737089202
20,64,1,2.145658263305322
20,64,2,1.526610644257703
20,64,3,1.6974789915966386
20,64,4,1.1372549019607843
20,64,5,1.0
20,64,6,4.081232492997199
20,64,7,2.0098039215686274
20,32,1,1.7877394636015325
20,32,2,1.028352490421456
20,32,3,1.0
20,32,4,1.024521072796935
20,32,5,1.0482758620689656
20,32,6,1.0122605363984674
20,32,7,1.4590038314176246
25,64,1,1.45662100456621
25,64,2,1.2283105022831051
25,64,3,1.0401826484018264
25,64,4,1.0904109589041096
25,64,5,1.0
25,64,6,2.719634703196347
25,64,7,1.4648401826484019
25,32,1,1.9524886877828054
25,32,2,1.251131221719457
25,32,3,1.2066365007541477
25,32,4,1.0
25,32,5,1.0935143288084463
25,32,6,1.198340874811463
25,32,7,1.3046757164404224
30,64,1,1.9223300970873787
30,64,2,1.4757281553398058
30,64,3,1.2524271844660195
30,64,4,5.503883495145631
30,64,5,1.0
30,64,6,1.4621359223300971
30,64,7,1.4553398058252427
30,32,1,1.3196066379840197
30,32,2,1.0
30,32,3,1.2704363859864782
30,32,4,1.2022126613398894
30,32,5,1.0657652120467118
30,32,6,1.4044253226797787
30,32,7,1.2446220036877689
40,64,1,1.7014218009478672
40,64,2,1.2328199052132702
40,64,3,1.0
40,64,4,1.335308056872038
40,64,5,1.6315165876777251
40,64,6,1.1664691943127963
40,64,7,2.4389810426540284
40,32,1,1.931830985915493
40,32,2,1.388732394366197
40,32,3,1.0
40,32,4,1.4867605633802816
40,32,5,1.0704225352112675
40,32,6,1.0270422535211268
40,32,7,1.6754929577464788
50,64,1,2.4490035169988276
50,64,2,1.8347010550996483
50,64,3,1.063892145369285
50,64,4,1.0
50,64,5,1.4021101992966003
50,64,6,4.718640093786635
50,64,7,11.723329425556859
50,32,1,1.9308419243986255
50,32,2,1.0
50,32,3,1.127147766323024
50,32,4,2.1576460481099655
50,32,5,1.1576460481099657
50,32,6,8.59106529209622
50,32,7,1.4965635738831615
60,64,1,1.2010018785222292
60,64,2,1.164996869129618
60,64,3,1.0
60,64,4,1.2723857232310583
60,64,5,6.261740763932373
60,64,6,2.2310582341891045
60,64,7,1.1768941765810896
60,32,1,2.365659109991604
60,32,2,1.0
60,32,3,1.5822837951301427
60,32,4,1.1947942905121747
60,32,5,1.1364399664147775
60,32,6,2.1238455079764904
60,32,7,1.5818639798488665
75,64,1,1.0
75,64,2,1.042655109489051
75,64,3,1.0221259124087592
75,64,4,2.4073905109489053
75,64,5,1.4400091240875912
75,64,6,1.0180200729927007
75,64,7,4.562043795620438
75,32,1,1.7735318909806126
75,32,2,1.7268895757235179
75,32,3,1.5105366676032594
75,32,4,1.6397864568699072
75,32,5,1.0
75,32,6,5.61955605507165
75,32,7,5.61955605507165
100,64,1,1.0
100,64,2,1.816058394160584
100,64,3,1.9418978102189781
100,64,4,2.9684671532846716
100,64,5,5.839416058394161
100,64,6,5.839416058394161
100,64,7,5.839416058394161
100,32,1,1.751749959303272
100,32,2,1.2996907048673287
100,32,3,1.0
100,32,4,3.255738238645613
100,32,5,1.0605567312388084
100,32,6,3.255738238645613
100,32,7,3.255738238645613
125,64,1,1.4501338090990188
125,64,2,1.0
125,64,3,2.1389830508474574
125,64,4,1.4337198929527208
125,64,5,3.568242640499554
125,64,6,3.568242640499554
125,64,7,3.568242640499554
125,32,1,1.468192061015774
125,32,2,1.467672040214942
125,32,3,1.2092217022014213
125,32,4,3.466805338880222
125,32,5,1.0
125,32,6,3.466805338880222
125,32,7,3.466805338880222
150,64,1,1.0
150,64,2,1.305042366995416
150,64,3,1.9247117655229893
150,64,4,2.778163633838033
150,64,5,2.778163633838033
150,64,6,2.778163633838033
150,64,7,2.778163633838033
150,32,1,2.012824728707662
150,32,2,1.0
150,32,3,2.489970404472213
150,32,4,3.288391976323578
150,32,5,3.288391976323578
150,32,6,1.4390003288391977
150,32,7,3.288391976323578
