Input dim,Multiplier,Hidden dim,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
15,2,32,0.001,2,2,1315,0.04948258027434349,0.06386807560920715
15,2,32,0.001,2,4,1212,0.04914359375834465,0.06365764886140823
15,2,32,0.001,2,6,1056,0.04392116516828537,0.14355772733688354
15,2,32,0.001,2,8,913,0.04961369186639786,0.08152112364768982
15,2,32,0.001,2,10,970,0.047799140214920044,0.059087276458740234
15,2,32,0.001,2,12,985,0.04994283244013786,0.04883396998047829
15,2,32,0.001,2,14,982,0.04616417735815048,0.049671392887830734
15,2,32,0.001,2,16,813,0.04976404830813408,0.0846695527434349
15,2,32,0.001,2,18,704,0.04994511231780052,0.05568322166800499
15,2,32,0.001,2,20,616,0.04047007858753204,0.08768067508935928
15,2,32,0.001,2,22,644,0.04287884384393692,0.09450037032365799
15,2,32,0.001,2,24,884,0.04553917795419693,0.05551566928625107
15,4,64,0.001,2,2,896,0.04097932204604149,0.0671101063489914
15,4,64,0.001,2,4,805,0.04367086663842201,0.08947136253118515
15,4,64,0.001,2,6,666,0.04930673912167549,0.15157335996627808
15,4,64,0.001,2,8,678,0.04568132758140564,0.05826033651828766
15,4,64,0.001,2,10,607,0.04937911033630371,0.07712960988283157
15,4,64,0.001,2,12,723,0.04417769983410835,0.07777612656354904
15,4,64,0.001,2,14,630,0.045027956366539,0.05999026447534561
15,4,64,0.001,2,16,741,0.044217634946107864,0.06779047846794128
15,4,64,0.001,2,18,719,0.039369553327560425,0.05687824264168739
15,4,64,0.001,2,20,671,0.04781237244606018,0.04645029082894325
15,4,64,0.001,2,22,749,0.04945133626461029,0.056364212185144424
15,4,64,0.001,2,24,15000,0.48972487449645996,0.571320652961731
30,1,32,0.001,2,2,2248,0.04723498225212097,0.06734742969274521
30,1,32,0.001,2,4,1909,0.047262705862522125,0.11371535062789917
30,1,32,0.001,2,6,1445,0.04231903329491615,0.09702309966087341
30,1,32,0.001,2,8,1506,0.04483506828546524,0.09931203722953796
30,1,32,0.001,2,10,1437,0.049810271710157394,0.08731842041015625
30,1,32,0.001,2,12,1218,0.04937031492590904,0.14282667636871338
30,1,32,0.001,2,14,1525,0.04673374816775322,0.15369057655334473
30,1,32,0.001,2,16,1183,0.048997264355421066,0.08013210445642471
30,1,32,0.001,2,18,1201,0.04784103110432625,0.08633655309677124
30,1,32,0.001,2,20,1024,0.04831567779183388,0.13341400027275085
30,1,32,0.001,2,22,1088,0.04891212657094002,0.05660600587725639
30,1,32,0.001,2,24,1000,0.047966860234737396,0.10875746607780457
30,2,64,0.001,2,2,1219,0.04883207008242607,0.08579110354185104
