Input dim,Multiplier,Hidden dim r,Hidden dim fc,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
15,4,64,32,0.001,2,3,904,0.04947347566485405,0.07109479606151581
15,4,64,64,0.001,2,3,768,0.04883521795272827,0.12176408618688583
15,4,64,96,0.001,2,3,921,0.04313499480485916,0.09733577072620392
15,4,64,128,0.001,2,3,582,0.04822626709938049,0.06058714911341667
15,4,64,160,0.001,2,3,676,0.0469542071223259,0.11818069219589233
15,4,64,192,0.001,2,3,569,0.049613744020462036,0.060060251504182816
15,4,64,224,0.001,2,3,581,0.04941338300704956,0.06993706524372101
15,4,64,256,0.001,2,3,462,0.038276661187410355,0.06894998997449875
15,4,64,288,0.001,2,3,535,0.044184908270835876,0.07355713844299316
15,4,64,320,0.001,2,3,530,0.04653182253241539,0.06970443576574326
15,4,64,352,0.001,2,3,460,0.04346689581871033,0.05820740386843681
15,4,64,384,0.001,2,3,489,0.04787992686033249,0.05415435880422592
15,4,64,416,0.001,2,3,554,0.04714665561914444,0.10488929599523544
15,4,64,448,0.001,2,3,455,0.047745175659656525,0.05270162224769592
15,4,64,480,0.001,2,3,450,0.04717421904206276,0.11103334277868271
15,4,64,512,0.001,2,3,591,0.046499233692884445,0.08985134214162827
50,1,64,32,0.001,2,3,3406,0.04212301969528198,0.048849690705537796
50,1,64,64,0.001,2,3,1487,0.049442701041698456,0.11169852316379547
50,1,64,96,0.001,2,3,1614,0.046401217579841614,0.09458043426275253
50,1,64,128,0.001,2,3,1847,0.04402250051498413,0.06456631422042847
50,1,64,160,0.001,2,3,1551,0.04506533592939377,0.06530123949050903
50,1,64,192,0.001,2,3,1508,0.04591982066631317,0.12501490116119385
50,1,64,224,0.001,2,3,1289,0.044323816895484924,0.13121844828128815
50,1,64,256,0.001,2,3,1038,0.04915887117385864,0.05598807707428932
50,1,64,288,0.001,2,3,898,0.04925524443387985,0.13367433845996857
50,1,64,320,0.001,2,3,829,0.047113701701164246,0.09367654472589493
50,1,64,352,0.001,2,3,1028,0.047662340104579926,0.14552316069602966
50,1,64,384,0.001,2,3,1174,0.04641836881637573,0.14764805138111115
50,1,64,416,0.001,2,3,857,0.04868554323911667,0.11643325537443161
50,1,64,448,0.001,2,3,1078,0.046684630215168,0.15523165464401245
50,1,64,480,0.001,2,3,1056,0.049636684358119965,0.10706155747175217
50,1,64,512,0.001,2,3,1247,0.048740290105342865,0.06956939399242401
75,0,64,32,0.001,2,3,5324,0.048701606690883636,0.06503751873970032
75,0,64,64,0.001,2,3,3300,0.04544587433338165,0.0604529045522213
75,0,64,96,0.001,2,3,3045,0.04767617583274841,0.07081984728574753
75,0,64,128,0.001,2,3,2928,0.046218909323215485,0.0696539580821991
75,0,64,160,0.001,2,3,2331,0.049283891916275024,0.08777125179767609
75,0,64,192,0.001,2,3,2072,0.04706283658742905,0.06453602761030197
75,0,64,224,0.001,2,3,2139,0.04778696596622467,0.07391240447759628
75,0,64,256,0.001,2,3,1565,0.047319285571575165,0.08878400921821594
75,0,64,288,0.001,2,3,1620,0.04835543781518936,0.06471481174230576
75,0,64,320,0.001,2,3,1444,0.04654578119516373,0.06332764029502869
75,0,64,352,0.001,2,3,1111,0.0483851283788681,0.07604477554559708
75,0,64,384,0.001,2,3,1672,0.04829767346382141,0.11745893210172653
