Input dim,Hidden dim,Lr,Layers,Epochs,Loss
2,8,0.01,1,55,0.04885369539260864
3,12,0.01,1,81,0.03311460465192795
4,16,0.01,1,108,0.048648566007614136
5,20,0.01,1,119,0.04976275935769081
10,40,0.01,1,1173,0.04763680696487427
15,60,0.01,1,3830,0.04927259311079979
20,80,0.01,1,6130,0.04970257729291916
25,100,0.01,1,6681,0.04890807718038559
35,140,0.01,1,14606,0.049700379371643066
50,200,0.01,1,11270,0.04348362982273102
60,240,0.01,1,14860,0.046047553420066833
70,280,0.01,1,10496,0.049395427107810974
80,320,0.01,1,21715,0.049802541732788086
90,360,0.01,1,34302,0.04767496883869171
2,10,0.01,1,61,0.04667437821626663
3,15,0.01,1,81,0.045441195368766785
4,20,0.01,1,66,0.042810775339603424
5,25,0.01,1,109,0.04774468392133713
10,50,0.01,1,103,0.047542981803417206
15,75,0.01,1,3032,0.04961302503943443
20,100,0.01,1,2809,0.04963235557079315
25,125,0.01,1,5337,0.04999242722988129
35,175,0.01,1,6892,0.04987262934446335
50,250,0.01,1,10503,0.04909801483154297
60,300,0.01,1,14873,0.04895295202732086
70,350,0.01,1,14737,0.04840177297592163
80,400,0.01,1,11872,0.048416003584861755
90,450,0.01,1,19320,0.048546239733695984
100,500,0.01,1,18683,0.0496334582567215
125,625,0.01,1,20958,0.04711258411407471
150,750,0.01,1,38179,0.04409119486808777
