Hidden Dim,Learning Rate,Num Layers,Epoch,Loss
1,0.1,1,1,0.0012631106656044722
1,0.1,2,31,0.007097539491951466
1,0.1,3,30,0.002237826818600297
1,0.1,4,17,0.0018238050397485495
2,0.1,1,1,0.003312200540676713
2,0.1,2,29,0.0068491678684949875
2,0.1,3,7,0.0072741396725177765
2,0.1,4,11,0.008180111646652222
3,0.1,1,4,0.0016047540120780468
3,0.1,2,2,0.008645657449960709
3,0.1,3,25,0.0012851294595748186
3,0.1,4,13,0.0021857626270502806
4,0.1,1,14,0.003865745384246111
4,0.1,2,15,0.0012613246217370033
4,0.1,3,27,0.002093588002026081
4,0.1,4,17,0.003996182698756456
5,0.1,1,23,0.0054881819523870945
5,0.1,2,7,0.004834743682295084
5,0.1,3,29,0.0046755545772612095
5,0.1,4,54,0.004195517394691706
6,0.1,1,13,0.00723696406930685
6,0.1,2,31,0.005619951523840427
6,0.1,3,18,0.004161784425377846
6,0.1,4,40,9.557045996189117e-05
7,0.1,1,17,0.005277786869555712
7,0.1,2,21,0.00752955861389637
7,0.1,3,16,0.005597737152129412
7,0.1,4,26,0.009421919472515583
8,0.1,1,18,0.0062436070293188095
8,0.1,2,49,0.002897493075579405
8,0.1,3,37,0.008621619082987309
8,0.1,4,14,0.005090258549898863
9,0.1,1,16,0.0021369396708905697
9,0.1,2,44,0.005609039682894945
9,0.1,3,37,0.0043877605348825455
9,0.1,4,80,0.009364123456180096
