Hidden Dim,Learning Rate,Num Layers,Epoch,Loss
30,0.1,1,2272,0.008861064910888672
30,0.1,2,4879,0.27966588735580444
30,0.1,3,4624,0.38047653436660767
30,0.1,4,4641,0.365806519985199
60,0.1,1,1596,0.009738311171531677
60,0.1,2,2929,0.009079910814762115
60,0.1,3,7660,0.07291636615991592
60,0.1,4,6968,0.24817991256713867
90,0.1,1,2051,0.009895659983158112
90,0.1,2,3185,0.009157873690128326
90,0.1,3,7382,0.1021985188126564
90,0.1,4,4063,0.3894836902618408
120,0.1,1,2683,0.009155027568340302
120,0.1,2,2999,0.009594343602657318
120,0.1,3,2257,0.009454712271690369
120,0.1,4,5454,0.22505539655685425
150,0.1,1,2007,0.008649379014968872
150,0.1,2,2186,0.009613275527954102
150,0.1,3,3870,0.00962754338979721
150,0.1,4,3314,0.009237505495548248
180,0.1,1,1751,0.009818971157073975
180,0.1,2,3224,0.009845778346061707
180,0.1,3,3956,0.009857617318630219
180,0.1,4,2909,0.008764415979385376
210,0.1,1,1688,0.008704617619514465
210,0.1,2,2813,0.009877599775791168
210,0.1,3,3436,0.009196363389492035
210,0.1,4,2148,0.009819239377975464
240,0.1,1,1490,0.009877413511276245
240,0.1,2,2546,0.00977354496717453
240,0.1,3,2805,0.009004279971122742
240,0.1,4,2339,0.0095096156001091
270,0.1,1,1753,0.007987990975379944
270,0.1,2,2409,0.008183494210243225
270,0.1,3,3267,0.009767420589923859
270,0.1,4,1969,0.009253233671188354
