Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time(s)
100,96,750,2,3,0.01,10000,1.0,0.007816657423973083,0.0042642755433917046,0.007816657423973083,0.0042642755433917046,5434,128
100,96,750,2,3,0.01,30000,3.0,0.009576348587870598,0.012827648781239986,0.009576348587870598,0.012827648781239986,6126,340
100,96,750,2,3,0.01,50000,5.0,0.008397126570343971,0.01636894978582859,0.008397126570343971,0.01636894978582859,4723,391
100,96,750,2,3,0.01,70000,7.0,0.007247526198625565,0.04356401786208153,0.007247526198625565,0.04356401786208153,4124,430
100,96,750,2,3,0.01,90000,9.0,0.007687810808420181,0.020680509507656097,0.007687810808420181,0.020680509507656097,13541,1845
100,96,750,2,3,0.01,110000,11.0,0.00997122097760439,0.02790580317378044,0.00997122097760439,0.02790580317378044,7248,1182
100,96,750,2,3,0.01,130000,13.0,0.008835169486701488,0.012188189662992954,0.008835169486701488,0.012188189662992954,6385,1168
100,96,750,2,3,0.01,150000,15.0,0.0093503687530756,0.1790504902601242,0.0093503687530756,0.1790504902601242,8958,1950
100,96,750,2,3,0.01,170000,17.0,0.0075342473573982716,0.029331432655453682,0.0075342473573982716,0.029331432655453682,7124,1735
100,96,750,2,3,0.01,10000,1.0,0.009453137405216694,0.07934993505477905,0.009453137405216694,0.07934993505477905,7698,196
100,96,750,2,3,0.01,30000,3.0,0.008500620722770691,0.007145000156015158,0.008500620722770691,0.007145000156015158,6197,356
100,96,750,2,3,0.01,50000,5.0,0.007650447078049183,0.010738394223153591,0.007650447078049183,0.010738394223153591,12461,1144
100,96,750,2,3,0.01,70000,7.0,0.009698323905467987,0.01594616286456585,0.009698323905467987,0.01594616286456585,4819,548
100,96,750,2,3,0.01,90000,9.0,0.00940479151904583,0.016866974532604218,0.00940479151904583,0.016866974532604218,3482,451
100,96,750,2,3,0.01,110000,11.0,0.009402010589838028,0.018799439072608948,0.009402010589838028,0.018799439072608948,8393,1260
100,96,750,2,3,0.01,130000,13.0,0.007876231335103512,0.056953031569719315,0.007876231335103512,0.056953031569719315,6903,1168
100,96,750,2,3,0.01,150000,15.0,0.009278593584895134,0.02675807662308216,0.009278593584895134,0.02675807662308216,8613,1715
100,96,750,2,3,0.01,170000,17.0,0.009161744266748428,0.037518586963415146,0.009161744266748428,0.037518586963415146,7149,1640
100,96,750,2,3,0.01,190000,19.0,0.009615500457584858,0.01618071459233761,0.009615500457584858,0.01618071459233761,6363,1578
100,96,750,2,3,0.01,10000,1.0,0.009961845353245735,0.023715993389487267,0.009961845353245735,0.023715993389487267,13491,313
100,96,750,2,3,0.01,30000,3.0,0.00970622431486845,0.009030838496983051,0.00970622431486845,0.009030838496983051,6157,347
100,96,750,2,3,0.01,50000,5.0,0.008850336074829102,0.02286793664097786,0.008850336074829102,0.02286793664097786,4561,379
100,96,750,2,3,0.01,70000,7.0,0.006541265640407801,0.0051399110816419125,0.006541265640407801,0.0051399110816419125,3753,389
100,96,750,2,3,0.01,90000,9.0,0.008706809021532536,0.018846020102500916,0.008706809021532536,0.018846020102500916,12281,1593
100,96,750,2,3,0.01,110000,11.0,0.00787519384175539,0.0069536506198346615,0.00787519384175539,0.0069536506198346615,2700,407
100,96,750,2,3,0.01,130000,13.0,0.009708348661661148,0.019768044352531433,0.009708348661661148,0.019768044352531433,13279,2260
100,96,750,2,3,0.01,150000,15.0,0.008322167210280895,0.01522419136017561,0.008322167210280895,0.01522419136017561,8167,1634
100,96,750,2,3,0.01,170000,17.0,0.009127339348196983,0.018621670082211494,0.009127339348196983,0.018621670082211494,9739,2251
100,96,750,2,3,0.01,190000,19.0,0.009425211697816849,0.0721106305718422,0.009425211697816849,0.0721106305718422,12029,3020
