Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time(s)
100,64,500,2,3,0.01,10000,1.0,0.00823153555393219,0.008960390463471413,0.0823153555393219,0.08960390090942383,4642
100,64,500,2,3,0.01,30000,3.0,0.009512396529316902,0.011610460467636585,0.09512396529316902,0.1161046028137207,13808
100,64,500,2,3,0.01,50000,5.0,0.007776275277137756,0.03759147971868515,0.07776275277137756,0.3759148120880127,3144
100,64,500,2,3,0.01,70000,7.0,0.009609130211174488,0.009885299950838089,0.09609130211174488,0.09885299950838089,10986
100,64,500,2,3,0.01,90000,9.0,0.009548118337988853,0.012688037008047104,0.09548118337988853,0.12688037753105164,5491
100,64,500,2,3,0.01,110000,11.0,0.009908915497362614,0.013581421226263046,0.09908915497362614,0.13581421971321106,5111
100,64,500,2,3,0.01,130000,13.0,0.008142290636897087,0.007426273077726364,0.08142290636897087,0.07426273077726364,3368
100,64,500,2,3,0.01,150000,15.0,0.008621171116828918,0.03442731499671936,0.08621171116828918,0.3442731499671936,10337
100,64,500,2,3,0.01,150000,15.0,0.009813492186367512,0.011807478964328766,0.09813492186367512,0.11807478964328766,2551
100,64,500,2,3,0.01,170000,17.0,0.009998517110943794,0.019412744790315628,0.09998517110943794,0.19412744045257568,4437
100,64,500,2,3,0.01,190000,19.0,0.009509071707725525,0.009657717309892178,0.09509071707725525,0.09657717496156693,7364
100,64,500,2,3,0.01,210000,21.0,0.009151794016361237,0.02293885499238968,0.09151794016361237,0.2293885499238968,4820
100,64,500,2,3,0.01,230000,23.0,0.009005315601825714,0.09169302135705948,0.09005315601825714,0.9169301986694336,3475
100,64,500,2,3,0.01,10000,1.0,0.00969622191041708,0.012115809135138988,0.0969622191041708,0.12115809321403503,5477,116
100,64,500,2,3,0.01,30000,3.0,0.00950522068887949,0.029885876923799515,0.0950522068887949,0.29885876178741455,4964,237
100,64,500,2,3,0.01,50000,5.0,0.009935220703482628,0.009888594038784504,0.09935220703482628,0.09888593852519989,4714,403
100,64,500,2,3,0.01,70000,7.0,0.009559918195009232,0.016846371814608574,0.09559918195009232,0.16846372187137604,8398,762
100,64,500,2,3,0.01,90000,9.0,0.00917629525065422,0.011632383801043034,0.0917629525065422,0.11632383614778519,4896,718
100,64,500,2,3,0.01,110000,11.0,0.009860352613031864,0.017629383131861687,0.09860352613031864,0.17629383504390717,6794,1181
100,64,500,2,3,0.01,130000,13.0,0.00988722499459982,0.009915361180901527,0.09887224994599819,0.09915360808372498,4520,902
100,64,500,2,3,0.01,150000,15.0,0.009195025078952312,0.010042635723948479,0.09195025078952312,0.10042636096477509,12372,2972
100,64,500,2,3,0.01,170000,17.0,0.008835999295115471,0.010255482979118824,0.08835999295115471,0.10255482792854309,8492,2322
100,64,500,2,3,0.01,30000,3.0,0.00991901196539402,0.020457591861486435,0.0991901196539402,0.20457592606544495,6162,354
100,64,500,2,3,0.01,50000,5.0,0.00980889331549406,0.020518826320767403,0.0980889331549406,0.20518825948238373,3437,305
100,64,500,2,3,0.01,70000,7.0,0.009349159896373749,0.009498892351984978,0.09349159896373749,0.09498892724514008,6498,755
100,64,500,2,3,0.01,90000,9.0,0.009546061977744102,0.01827414706349373,0.09546061977744102,0.1827414631843567,13052,1920
100,64,500,2,3,0.01,110000,11.0,0.009704622440040112,0.02094637230038643,0.09704622440040112,0.2094637155532837,4932,860
