Siamese Layers,Shared Layers,Input Dim,Hidden Dimension,Train Loss,Epochs,Loss Tolerance,Datasize,n_samples,Test Loss,Calc Time (Model),Calc Time (Traditional),Training Size,Label,Device,Time,Training Time,metric,Test Size
2,5,100,500,0.5122454166412354,5000,0.5,20000,64,0.4207035899162292,0.0020225048065185,0.0080785751342773,20000,W-1,cuda,2024-10-22 23:35,0:3.265238,euclidean,100
2,5,100,500,0.5122454166412354,5000,0.5,20000,64,0.4379296898841858,0.0020422935485839,0.045027732849121,20000,W-1,cuda,2024-10-22 23:35,0:2.536562,euclidean,500
2,5,100,500,0.5122454166412354,5000,0.5,20000,64,0.3508251905441284,0.0013928413391113,0.0993318557739257,20000,W-1,cuda,2024-10-22 23:35,0:2.721076,euclidean,1000
2,5,100,500,0.5122454166412354,5000,0.5,20000,64,0.3309515416622162,0.0081429481506347,0.798588752746582,20000,W-1,cuda,2024-10-22 23:35,0:5.679349,euclidean,10000
2,5,100,500,0.1054874807596206,5000,0.1,20000,64,0.0604156963527202,0.0010712146759033,0.0080494880676269,20000,W-1,cuda,2024-10-22 23:35,0:2.837582,euclidean,100
2,5,100,500,0.1054874807596206,5000,0.1,20000,64,0.0203006006777286,0.0010027885437011,0.0483975410461425,20000,W-1,cuda,2024-10-22 23:35,0:2.662792,euclidean,500
2,5,100,500,0.1054874807596206,5000,0.1,20000,64,0.0236465577036142,0.0011303424835205,0.1015748977661132,20000,W-1,cuda,2024-10-22 23:35,0:2.781044,euclidean,1000
2,5,100,500,0.1054874807596206,5000,0.1,20000,64,0.0086843706667423,0.0020053386688232,0.7684650421142578,20000,W-1,cuda,2024-10-22 23:35,0:5.558078,euclidean,10000
2,5,100,500,0.1054874807596206,5000,0.05,20000,64,0.0104609141126275,0.002002477645874,0.0091388225555419,20000,W-1,cuda,2024-10-22 23:35,0:2.566922,euclidean,100
2,5,100,500,0.1054874807596206,5000,0.05,20000,64,0.0199214685708284,0.0010042190551757,0.0621707439422607,20000,W-1,cuda,2024-10-22 23:36,0:2.696358,euclidean,500
2,5,100,500,0.1054874807596206,5000,0.05,20000,64,0.0116288438439369,0.0010173320770263,0.1037681102752685,20000,W-1,cuda,2024-10-22 23:36,0:2.952221,euclidean,1000
2,5,100,500,0.1054874807596206,5000,0.05,20000,64,0.0338202863931655,0.0010027885437011,0.7760593891143799,20000,W-1,cuda,2024-10-22 23:36,0:5.550879,euclidean,10000
2,5,200,500,0.5164704322814941,5000,0.5,20000,64,0.462302029132843,0.0020081996917724,0.0083661079406738,20000,W-1,cuda,2024-10-22 23:36,0:5.105368,euclidean,100
2,5,200,500,0.5164704322814941,5000,0.5,20000,64,0.416628360748291,0.0011672973632812,0.0456247329711914,20000,W-1,cuda,2024-10-22 23:36,0:4.456295,euclidean,500
2,5,200,500,0.5164704322814941,5000,0.5,20000,64,0.384144127368927,0.0020053386688232,0.1211850643157959,20000,W-1,cuda,2024-10-22 23:36,0:4.818263,euclidean,1000
2,5,200,500,0.5164704322814941,5000,0.5,20000,64,0.3429838716983795,0.0020053386688232,0.8111727237701416,20000,W-1,cuda,2024-10-22 23:36,0:8.381941,euclidean,10000
2,5,200,500,0.1128704398870468,5000,0.1,20000,64,0.0688686594367027,0.0010116100311279,0.0081281661987304,20000,W-1,cuda,2024-10-22 23:36,0:4.604654,euclidean,100
2,5,200,500,0.1128704398870468,5000,0.1,20000,64,0.0510075464844703,0.0010061264038085,0.0464613437652587,20000,W-1,cuda,2024-10-22 23:36,0:4.603872,euclidean,500
2,5,200,500,0.1128704398870468,5000,0.1,20000,64,0.0387177877128124,0.001002550125122,0.1252744197845459,20000,W-1,cuda,2024-10-22 23:36,0:4.709594,euclidean,1000
2,5,200,500,0.1128704398870468,5000,0.1,20000,64,0.0149401044473052,0.0010216236114501,0.8685877323150635,20000,W-1,cuda,2024-10-22 23:36,0:8.362140,euclidean,10000
