n,num_bits,num_samples,learning_rate,hidden_dim,layers_num,num_samples_test,batch_size,epochs,test_loss
5,8,2500,0.001,32,3,1000,32,150,0.09988352656364441
5,4,500,0.001,8,2,1000,32,100,0.10983176529407501
5,4,500,0.001,8,2,1000,64,100,0.10434790700674057
5,4,500,0.001,8,3,1000,32,100,0.1080177053809166
5,4,500,0.001,8,3,1000,64,100,0.10494133830070496
5,4,500,0.001,8,4,1000,32,100,0.1084616631269455
5,4,500,0.001,8,4,1000,64,100,0.10527199506759644
5,4,500,0.001,16,2,1000,32,100,0.11255495250225067
5,4,500,0.001,16,2,1000,64,100,0.10562603920698166
5,4,500,0.001,16,3,1000,32,100,0.11421357095241547
5,4,500,0.001,16,3,1000,64,100,0.10947522521018982
5,4,500,0.001,16,4,1000,32,100,0.11121540516614914
5,4,500,0.001,16,4,1000,64,100,0.11205137521028519
5,4,500,0.001,32,2,1000,32,100,0.10816717892885208
5,4,500,0.001,32,2,1000,64,100,0.11610794812440872
5,4,500,0.001,32,3,1000,32,100,0.11168345808982849
5,4,500,0.001,32,3,1000,64,100,0.11398034542798996
5,4,500,0.001,32,4,1000,32,100,0.12237121164798737
5,4,500,0.001,32,4,1000,64,100,0.12233790010213852
5,4,500,0.001,64,2,1000,32,100,0.11922641098499298
5,4,500,0.001,64,2,1000,64,100,0.11275966465473175
5,4,500,0.001,64,3,1000,32,100,0.14129620790481567
5,4,500,0.001,64,3,1000,64,100,0.13479089736938477
5,4,500,0.001,64,4,1000,32,100,0.15082581341266632
5,4,500,0.001,64,4,1000,64,100,0.15069818496704102
5,4,500,0.005,8,2,1000,32,100,0.11953957378864288
5,4,500,0.005,8,2,1000,64,100,0.11980107426643372
5,4,500,0.005,8,3,1000,32,100,0.11823129653930664
5,4,500,0.005,8,3,1000,64,100,0.12870845198631287
5,4,500,0.005,8,4,1000,32,100,0.1248105838894844
5,4,500,0.005,8,4,1000,64,100,0.11303311586380005
5,4,500,0.005,16,2,1000,32,100,0.13977156579494476
5,4,500,0.005,16,2,1000,64,100,0.12761107087135315
5,4,500,0.005,16,3,1000,32,100,0.14028042554855347
5,4,500,0.005,16,3,1000,64,100,0.12936991453170776
5,4,500,0.005,16,4,1000,32,100,0.1346462219953537
5,4,500,0.005,16,4,1000,64,100,0.13924719393253326
5,4,500,0.005,32,2,1000,32,100,0.15170899033546448
5,4,500,0.005,32,2,1000,64,100,0.14070822298526764
5,4,500,0.005,32,3,1000,32,100,0.1544250249862671
5,4,500,0.005,32,3,1000,64,100,0.15460984408855438
5,4,500,0.005,32,4,1000,32,100,0.16467773914337158
5,4,500,0.005,32,4,1000,64,100,0.14207997918128967
5,4,500,0.005,64,2,1000,32,100,0.15190428495407104
5,4,500,0.005,64,2,1000,64,100,0.13947834074497223
5,4,500,0.005,64,3,1000,32,100,0.14720159769058228
5,4,500,0.005,64,3,1000,64,100,0.14853569865226746
5,4,500,0.005,64,4,1000,32,100,0.14651718735694885
5,4,500,0.005,64,4,1000,64,100,0.15538837015628815
5,8,500,0.001,8,2,1000,32,100,0.11857129633426666
5,8,500,0.001,8,2,1000,64,100,0.11562976986169815
5,8,500,0.001,8,3,1000,32,100,0.11839405447244644
5,8,500,0.001,8,3,1000,64,100,0.11821901798248291
5,8,500,0.001,8,4,1000,32,100,0.11663252860307693
5,8,500,0.001,8,4,1000,64,100,0.11572272330522537
5,8,500,0.001,16,2,1000,32,100,0.11962714046239853
5,8,500,0.001,16,2,1000,64,100,0.11754457652568817
