Input dimension,Number of Layers,Factor q,Meant Complexity,Actual Complexity,First Layer,Layers,Dataset size,Train Loss,Test Loss,Epochs
100,2,0.75,5000000,5001179,2516,"2516,1887",10000,0.00945788063108921,0.1724293977022171,9162
100,3,0.75,5000000,4998675,2023,"2023,1517,1138",10000,0.00991632416844368,0.16709476709365845,9153
100,4,0.75,5000000,4999548,1848,"1848,1386,1040,780",10000,0.00982029177248478,0.1753373146057129,7175
100,5,0.75,5000000,5000381,1768,"1768,1326,995,746,559",10000,0.006791085936129093,0.1800089031457901,8036
100,6,0.75,5000000,5002635,1727,"1727,1296,972,729,547,410",10000,0.006680654361844063,0.1613282710313797,8911
100,7,0.75,5000000,5000539,1706,"1706,1279,959,720,540,405,304",10000,0.00964563898742199,0.15322726964950562,9076
100,8,0.75,5000000,5000451,1694,"1694,1270,953,715,536,402,301,226",10000,0.009415050968527794,0.17365796864032745,8237
100,9,0.75,5000000,4998430,1687,"1687,1265,949,712,534,400,300,225,169",10000,0.009881248697638512,0.16928821802139282,7076
100,10,0.75,5000000,5002298,1684,"1684,1263,947,710,533,400,300,225,169,126",10000,0.008037064224481583,0.19179455935955048,6663
100,11,0.75,5000000,4999420,1682,"1682,1261,946,709,532,399,299,224,168,126,95",10000,0.009718190878629684,0.19947803020477295,6031
100,12,0.75,5000000,4998824,1680,"1680,1260,945,709,532,399,299,224,168,126,95,71",10000,0.008658858016133308,0.19662383198738098,5858
100,13,0.75,5000000,5001461,1680,"1680,1260,945,709,531,399,299,224,168,126,95,71,53",10000,0.006569468416273594,0.191244438290596,6507
100,14,0.75,5000000,5000732,1679,"1679,1260,945,708,531,399,299,224,168,126,95,71,53,40",10000,0.009952036663889885,0.21273593604564667,45297
100,15,0.75,5000000,4998468,1679,"1679,1259,945,708,531,398,299,224,168,126,95,71,53,40,30",10000,0.009549383074045181,0.21252979338169098,74290
200,2,0.75,15000000,14997955,4340,"4340,3255",10000,0.009952263906598091,0.1917857825756073,5375
200,3,0.75,15000000,15000525,3493,"3493,2620,1965",10000,0.007159952074289322,0.193522647023201,4805
200,4,0.75,15000000,15000231,3192,"3192,2394,1796,1347",10000,0.00852840207517147,0.1896044909954071,5635
200,5,0.75,15000000,14996638,3054,"3054,2290,1718,1288,966",10000,0.009023280814290047,0.20018194615840912,6545
200,6,0.75,15000000,15000514,2984,"2984,2238,1678,1259,944,708",10000,0.009461421519517899,0.20249968767166138,6747
200,7,0.75,15000000,14998225,2946,"2946,2210,1657,1243,932,699,524",10000,0.009295918047428131,0.19783423840999603,7351
200,8,0.75,15000000,14998336,2926,"2926,2194,1646,1234,926,694,521,391",10000,0.009390627034008503,0.19960917532444,8487
200,9,0.75,15000000,15001017,2915,"2915,2186,1639,1230,922,692,519,389,292",10000,0.009130863472819328,0.22416426241397858,7761
200,10,0.75,15000000,14998044,2908,"2908,2181,1636,1227,920,690,518,388,291,218",10000,0.007407228462398052,0.2171695977449417,6133
200,11,0.75,15000000,15001168,2905,"2905,2179,1634,1225,919,689,517,388,291,218,164",10000,0.009553179144859314,0.22970151901245117,4679
200,12,0.75,15000000,15001002,2903,"2903,2177,1633,1225,918,689,517,387,291,218,163,123",10000,0.009472601115703583,0.2419692873954773,4347
200,13,0.75,15000000,14997743,2902,"2902,2176,1632,1224,918,689,516,387,290,218,163,123,92",10000,0.009653959423303604,0.24456879496574402,5356
200,14,0.75,15000000,15000258,2901,"2901,2176,1632,1224,918,688,516,387,290,218,163,123,92,69",10000,0.009894833900034428,0.25498220324516296,29467
200,15,0.75,15000000,15003829,2901,"2901,2176,1632,1224,918,688,516,387,290,218,163,123,92,69,52",10000,0.00768536189571023,0.23616179823875427,49785
300,2,0.75,50000000,49998900,7967,"7967,5975",10000,0.009370261803269386,0.18713773787021637,3909
300,3,0.75,50000000,50003535,6405,"6405,4804,3603",10000,0.00947890430688858,0.1859525442123413,4114
300,4,0.75,50000000,49995052,5851,"5851,4388,3291,2468",10000,0.007261989638209343,0.21726569533348083,5816
300,5,0.75,50000000,49997395,5597,"5597,4197,3148,2361,1771",10000,0.008022861555218697,0.195206418633461,5903
300,6,0.75,50000000,50001084,5467,"5467,4101,3075,2307,1730,1297",10000,0.009099092334508896,0.20364612340927124,6613
300,7,0.75,50000000,50006124,5399,"5399,4049,3037,2278,1708,1281,961",10000,0.008855408988893032,0.16491684317588806,8353
300,8,0.75,50000000,50005341,5361,"5361,4021,3016,2262,1696,1272,954,716",10000,0.009169913828372955,0.18354201316833496,8740
300,9,0.75,50000000,49999522,5340,"5340,4005,3004,2253,1690,1267,950,713,535",10000,0.009569336660206318,0.2515948712825775,8192
