n,learning_rate,hidden_dim,layers_num,batch_size,epochs,weight_decay,granulation,loss_tolerance,dataset_size,granulation_mode,test_loss,test_normal_loss
5,0.01,32,3,64,1000,0.0001,2,0.0,125,False,0.06696318089962006,0.06696318089962006
5,0.01,32,3,64,1000,0.0001,2,0.0,125,True,1.6612824201583862,1.6612824201583862
5,0.01,32,3,64,1000,0.0001,3,0.0,625,False,0.02217729575932026,0.02217729575932026
5,0.01,32,3,64,1000,0.0001,3,0.0,625,True,0.5687061548233032,0.5687061548233032
5,0.01,32,3,64,1000,0.0001,4,0.0,3125,False,0.19584781676530838,0.06528260558843613
5,0.01,32,3,64,1000,0.0001,4,0.0,3125,True,1.5062009394168854,0.5020669798056284
6,0.01,32,3,64,1000,0.0001,2,0.0,216,False,0.08365904539823532,0.08365904539823532
6,0.01,32,3,64,1000,0.0001,2,0.0,216,True,3.7788989543914795,3.7788989543914795
6,0.01,32,3,64,1000,0.0001,4,0.0,7776,False,0.16246951837092638,0.023209931195846627
6,0.01,32,3,64,1000,0.0001,4,0.0,7776,True,6.363110363483429,0.9090157662119184
7,0.01,32,3,64,1000,0.0001,2,0.0,343,False,0.10271061211824417,0.10271061211824417
7,0.01,32,3,64,1000,0.0001,2,0.0,343,True,0.9285522103309631,0.9285522103309631
7,0.01,32,3,64,1000,0.0001,3,0.0,2401,False,0.08848954364657402,0.04424477182328701
7,0.01,32,3,64,1000,0.0001,3,0.0,2401,True,2.9400105476379395,1.4700052738189697
7,0.01,32,3,64,1000,0.0001,4,0.0,16807,False,0.8809580579400063,0.0629255755671433
7,0.01,32,3,64,1000,0.0001,4,0.0,16807,True,23.681509613990784,1.6915364009993417
