Input dimension,Number of Layers,Factor q,Meant Complexity,Actual Complexity,First Layer,Layers
300,2,0.75,50000000,49998900,7967,"7967,5975"
100,2,0.75,5000000,5001179,2516,"2516,1887"
200,2,0.75,15000000,14997955,4340,"4340,3255"
300,2,0.75,50000000,49998900,7967,"7967,5975"
400,2,0.75,95000000,95003456,10991,"10991,8243"
500,2,0.75,135000000,135002220,13087,"13087,9815"
600,2,0.75,200000000,199999585,15934,"15934,11951"
700,2,0.75,285000000,284999442,19032,"19032,14274"
800,2,0.75,375000000,374998150,21833,"21833,16375"
900,2,0.75,475000000,475014520,24573,"24573,18430"
1000,2,0.75,600000000,600008094,27625,"27625,20719"
